Geneid,SRX14927069,SRX14927070,SRX14927071,SRX14927072,SRX14927073,SRX14927074,SRX14927075,SRX14927076,SRX14927077
SGL_RS00010,5.927441795768341,6.1192618653718505,5.9072953149805985,5.931192842905549,5.980526291679061,5.906950149344023,9.091268736499982,9.196501175847411,8.893377492571458
SGL_RS00015,4.626321496196807,3.5904900101879806,2.860224719393647,5.617175280285041,4.765656324385562,5.192837561897077,8.532359494240042,8.487057751384405,8.39626646146946
SGL_RS20055,4.381721390849565,3.947773590135942,3.8711971880993303,5.494531686982593,4.574183351819215,5.65236079804704,8.32595089248043,8.183764664953523,8.157889210640288
SGL_RS00020,4.060097978291916,3.971263995429057,3.901777904219891,5.13310510158271,4.949380444810333,5.057613958267624,8.64444855111807,8.644458266175972,8.493990299339835
SGL_RS00025,4.9322188340522946,4.2399039690644935,4.373164115662311,4.824352846253601,5.037197046127659,4.765380905958601,7.879638327772519,7.8028842020524385,7.756736350501902
SGL_RS00030,4.193229638517716,4.743840966611147,4.020604495212795,4.282993160615298,4.0264878840065945,4.620644511686496,8.761493561679318,8.785131542839974,8.766411738648335
SGL_RS00035,0.0,0.0,0.0,4.431703949846136,4.173709072251063,4.770951059287454,9.351864297668563,9.363077192161972,9.050854381239246
SGL_RS00040,9.541940241529486,9.310085507149577,9.64473547175592,9.20540959817915,9.69321875468233,9.49469609336462,8.899222485930604,8.802381709048941,8.851726331344244
SGL_RS00045,5.904618755978639,5.453941522550974,5.086259647582857,6.781840065496513,6.599301824900981,6.622672594471405,9.00561549907939,9.015908018033036,8.878874362748453
SGL_RS00050,3.456386002819073,2.330650440336074,4.3246441828979565,5.245455004571669,5.743666486054971,4.620644511686496,9.46768994490405,9.450562656647936,9.213250448902697
SGL_RS00055,2.8900351709633827,2.550257961805275,3.2110122443972613,4.9037308910811905,5.243020775878102,5.247071058283306,9.42956897149202,9.425094083099607,9.259390530413375
SGL_RS00060,2.738203673513433,2.525870611825159,2.320936444318601,4.066066417585378,3.2899163913835303,4.2912722643875405,9.132238538195656,9.17618364222159,9.047872630606385
SGL_RS00065,3.968797117218346,4.078427728997082,4.635048420014293,5.418489903153506,5.0987157013829405,5.611905119559489,9.878661840467968,10.005250489048887,9.68715115276064
SGL_RS00070,3.8166131584091905,4.721506454864602,3.998837840823927,4.511425419501233,4.30855570681873,6.045011759817158,9.0049897783707,9.101862269968782,8.827638512976876
SGL_RS00075,1.8800066802817474,3.0263492383567847,3.1667263849719154,4.9082808973548335,4.446765893861257,4.884458511631825,9.675051603914314,9.767515768213055,9.465211677947048
SGL_RS00080,5.066220241255271,4.997736026827785,5.256002676382486,6.168082354575492,6.2175381611835,5.39884314587943,8.923728213255494,8.882130323504574,8.796488714144807
SGL_RS00085,4.4974357189659955,3.519125804584766,5.050078237640921,5.208008349717962,4.294063279346525,4.98367234614757,8.802846299764195,8.850405364457519,8.739566818069717
SGL_RS00090,3.2458023327381196,2.6187398878431667,3.4216657465107274,2.78460546404081,2.827577080647146,3.092190895584863,8.538587714973326,8.491452588889253,8.884368692206422
SGL_RS00095,6.5334219316781335,7.40223364200871,7.3996471049891115,7.484566461487939,7.3133365349209685,6.8718670018453905,9.092802809761457,9.101272440417626,9.096094240358163
