Geneid,SRX080704,SRX080705,SRX080707,SRX080708,SRX080709,SRX080710,SRX080711,SRX080712,SRX156368,SRX156370,SRX156371,SRX156372,SRX156375,SRX156377,SRX156378,SRX156379
SYNPCC7002_RS14480,4.806805831659942,0.0,0.0,6.407527401947169,5.519536052533767,0.0,5.011529717231131,0.0,0.0,4.913108240603234,5.413187289688603,0.0,6.166225416780845,5.714294679298253,7.473473551160567,0.0
SYNPCC7002_RS14485,5.814454422689867,0.0,6.148164633058704,0.0,4.983387767817235,6.579820312678395,7.011590742327905,0.0,9.09731246934676,5.133037443647445,0.0,0.0,4.257725393760169,7.727643125815518,0.0,0.0
SYNPCC7002_RS14490,8.136611192764697,7.07023565543272,4.933600456589861,4.656052061606293,7.027995328692674,6.340498214392682,6.771557168481386,6.243724202886321,0.0,3.9460327809803886,4.249061778455148,0.0,4.029363406089831,0.0,0.0,6.778805901177604
SYNPCC7002_RS14495,11.167726857256117,11.442405201042106,11.901867876823168,11.087669241228449,8.496434707916526,12.87923197998035,9.44235367128352,13.4714578494139,10.329259212378592,8.343044403849504,9.76166272639143,12.671941570786828,12.38863082515617,0.0,14.277457252456399,14.535117626713578
SYNPCC7002_RS14500,11.766975689582448,0.0,0.0,0.0,7.600543140546016,0.0,10.357951373019011,0.0,6.4454432963409545,10.47630667951567,0.0,0.0,0.0,17.47051172642762,0.0,0.0
SYNPCC7002_RS14505,0.0,5.510414961343879,4.375777019990892,4.103107512062788,4.7533906509755095,0.0,0.0,0.0,4.995572499173896,3.9496941358562596,0.0,5.533288925193474,0.0,6.330771557694534,0.0,0.0
SYNPCC7002_RS14510,5.684467018026087,0.0,6.017668968979687,4.761483488007492,6.406663223827729,0.0,0.0,7.343096725762909,0.0,5.004534888427869,4.353123977070257,0.0,5.090783190704787,7.014608618433092,6.7952386727918395,0.0
SYNPCC7002_RS16790,0.0,0.0,0.0,5.734640603562421,6.8174431961223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNPCC7002_RS14515,8.14162892061208,6.854623375542951,8.99300862131038,7.846023026391299,7.485685233857279,10.013514592618748,9.243756115093776,9.816158586996059,10.069547082844261,7.3953782495668055,10.52460075080231,11.620831766446408,7.1901782919189206,6.280073933132498,9.77878006590894,0.0
SYNPCC7002_RS14520,7.231870858087059,0.0,0.0,5.3102196144694185,6.967236945302841,7.009552717248263,0.0,0.0,0.0,4.586322179207938,0.0,0.0,0.0,6.584621702372794,0.0,0.0
SYNPCC7002_RS14525,7.654901714394472,0.0,6.4188145715658935,0.0,5.249647651412687,0.0,0.0,0.0,0.0,5.400079136685319,4.742305895726747,6.613898051860782,4.518787939703163,6.426899362448187,0.0,0.0
SYNPCC7002_RS14530,5.659868111195009,4.618970987370467,5.419287990532089,4.179156291066307,5.805532097068332,0.0,5.295083362298355,0.0,0.0,4.726310159722822,2.8811459517786577,0.0,2.682124710665729,4.460421349785276,5.211605154258469,6.283814382428785
SYNPCC7002_RS16510,6.014334834557714,6.931691711326269,7.7526735457442015,7.274731602509276,8.825306210165992,6.781090233180541,6.952282473069871,7.8983393127746835,8.302506049041893,8.678926925272123,7.21118198900427,0.0,5.4176710099156224,8.218432219605404,7.861077628382544,5.654894477535826
SYNPCC7002_RS16795,5.735012666606622,0.0,5.089757169311095,5.785219918532771,0.0,6.499770155020799,0.0,6.402865420918371,6.705716061802477,5.054487388804855,7.149827168308595,6.2629078519392225,0.0,6.076476313539913,6.846313117487856,0.0
SYNPCC7002_RS14545,6.067754056079782,6.574251109222025,5.419287990532089,0.0,5.233409778004121,0.0,0.0,0.0,0.0,4.417943654481343,4.726253776301205,0.0,0.0,6.989713369824745,0.0,7.2745263190589196
SYNPCC7002_RS14550,9.502333616781945,8.923155431127414,4.888964668568702,4.611741559859557,7.563338374147364,9.086425512321751,8.176548027385321,10.638725870652657,0.0,7.135309351122996,5.479581756936642,5.079969158425141,4.939808095699609,8.80503847377011,5.655308886468136,5.746561485623198
SYNPCC7002_RS14555,5.64170110524496,6.724131164565833,0.0,4.71948864033853,5.124846729848443,0.0,0.0,0.0,0.0,5.127060901389033,3.3825425231774666,0.0,3.1736482981338376,8.356506616300258,0.0,0.0
SYNPCC7002_RS14560,7.525856348396724,7.166561698100536,3.5284453833642644,6.448271257878235,4.590136281309114,4.884339893889616,8.083038565606737,6.33950986757507,0.0,6.422625518124072,4.341143032885907,5.624450002649906,5.078554462823417,9.189677662416239,5.223760424525198,5.3143887278504085
SYNPCC7002_RS16560,6.848162072568018,0.0,4.252428271607011,3.981113883149369,5.817213978638545,0.0,0.0,0.0,4.869946057236623,5.492656346131124,5.49259905044354,5.406340288678712,4.302303622065685,6.20257873192651,6.973166368052114,0.0
SYNPCC7002_RS14570,10.9794187308964,11.455327940675144,5.7715586036783595,6.155420560348403,8.695259572240575,12.893570056789558,12.989328967379803,11.556827116866435,6.667273711665647,9.209244161375489,9.368890445536792,6.953828857864285,7.071293712258409,6.038239991054304,8.535759252340858,9.305262310663908
SYNPCC7002_RS14575,5.6119421557539795,5.13668692927912,5.944839896814683,4.690279636727171,11.053201316018246,5.392958112073641,4.845007042153667,0.0,0.0,12.061387403319959,3.3551091446565575,5.159410369145636,4.062830783439511,9.686047127212738,0.0,0.0
SYNPCC7002_RS14580,8.558746621863753,9.262857887988693,0.0,5.824398994798305,5.512926334096565,9.111205513787198,8.548160804845965,10.818723172297595,5.758617493161514,5.8823227751199685,0.0,6.30228812243408,0.0,0.0,0.0,0.0
SYNPCC7002_RS14585,8.4302064063339,7.723414970682033,8.132826929533476,5.697878726242327,4.819152326722517,8.39901438591616,0.0,0.0,0.0,3.1002750578861162,5.8534059166532675,6.175097870599511,6.830428040796276,6.977427501588829,0.0,0.0
