Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
DRX114943	2.6	10555361	3509635	10555361	1055536100	6723284	1036706172	1.7839207962664658
DRX114944	2.6	10993297	3584358	10993297	1099329700	13884975	1075641963	2.154743658794991
DRX114945	2.6	11250049	3610837	11250049	1125004900	6897388	1106589789	1.63689162598314
DRX114946	2.6	11706978	3963067	11706978	1170697800	7089494	1146133852	2.098231328358181
DRX114947	2.6	7592488	2445900	7592488	759248800	10365088	742176198	2.248617580956335
DRX114948	2.6	10809706	3471202	10809706	1080970600	11825992	1059054706	2.0274273879419105
DRX114949	2.6	9585103	3237994	9585103	958510300	5381886	942332984	1.6877560940138048
DRX114950	2.6	8731556	2660746	8731556	873155600	12328914	855776203	1.99041236178294
