Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
DRX114943	10502298.0	7848698.0	74.73	2653600.0	25.27
DRX114944	10930662.0	10041737.0	91.87	888925.0	8.13
DRX114945	11177708.0	10253364.0	91.73	924344.0	8.27
DRX114946	11650458.0	10701693.0	91.86	948765.0	8.14
DRX114947	7544101.0	6923817.0	91.78	620284.0	8.22
DRX114948	10760521.0	9953869.0	92.5	806652.0	7.5
DRX114949	9539977.0	8838958.0	92.65	701019.0	7.35
DRX114950	8674923.0	7395942.0	85.26	1278981.0	14.74
