Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
ERX5015785	33347452.0	32824233.0	98.43	523219.0	1.57
ERX5015786	29803055.0	29361038.0	98.52	442017.0	1.48
ERX5015787	29513066.0	29034867.0	98.38	478199.0	1.62
ERX5015788	26966514.0	26593713.0	98.62	372801.0	1.38
ERX5015789	28185549.0	27705149.0	98.3	480400.0	1.7
ERX5015790	30135660.0	29585792.0	98.18	549868.0	1.82
ERX5015791	29914525.0	29497252.0	98.61	417273.0	1.39
ERX5015792	21475841.0	21162104.0	98.54	313737.0	1.46
ERX5015793	25521637.0	25152511.0	98.55	369126.0	1.45
ERX5015794	28242247.0	27827298.0	98.53	414949.0	1.47
