Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
ERX5015785	2.6	33347666	7950311	33347666	2530206418	1559747	2518116453	0.47782524437498286
ERX5015786	2.6	29803336	7146583	29803336	2261507006	1403479	2250602759	0.48216728805482195
ERX5015787	2.6	29513698	7168469	29513698	2239104403	1440829	2228257424	0.4844338203018575
ERX5015788	2.6	26966757	6467397	26966757	2046302414	1343478	2036418760	0.48300065192612335
ERX5015789	2.6	28185785	6915642	28185785	2138208556	1533879	2127512835	0.5002187915667474
ERX5015790	2.6	30135916	7300038	30135916	2287044392	1328034	2276271168	0.47105443329759383
ERX5015791	2.6	29915007	7359529	29915007	2266323088	1344205	2255067358	0.4966516053954616
ERX5015792	2.6	21475958	5123931	21475958	1629827649	1046442	1622090036	0.474750382639999
ERX5015793	2.6	25521877	6066122	25521877	1935786293	1157512	1926618722	0.47358383687036465
ERX5015794	2.6	28242523	6803355	28242523	2141768187	1316405	2131414946	0.48339689901276883
