Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
ERX5015785	33347452	936372	30411925	523219	0	0	0	0	0	0	0	0	0	1418099	57568	269	2.8079266745777156
ERX5015786	29803055	836485	27156468	442017	0	0	0	0	0	0	0	0	0	1321049	46787	249	2.8067089095396427
ERX5015787	29513066	2098611	25995591	478199	0	0	0	0	0	0	0	0	0	817770	122202	693	7.110786117579244
ERX5015788	26966514	1446151	24508580	372801	0	0	0	0	0	0	0	0	0	558344	80048	590	5.362765836177416
ERX5015789	28185549	1936700	24818174	480400	0	0	0	0	0	0	0	0	0	836311	113423	541	6.871251647431101
ERX5015790	30135660	2167453	26653991	549868	0	0	0	0	0	0	0	0	0	634461	129216	671	7.192319663813568
ERX5015791	29914525	1597423	26176818	417273	0	0	0	0	0	0	0	0	0	1628206	94284	521	5.339957762993061
ERX5015792	21475841	1035746	19652696	313737	0	0	0	0	0	0	0	0	0	411403	61893	366	4.822842560624284
ERX5015793	25521637	1296321	23192797	369126	0	0	0	0	0	0	0	0	0	590227	72732	434	5.079301927223556
ERX5015794	28242247	1334354	25497638	414949	0	0	0	0	0	0	0	0	0	915779	79094	433	4.7246736422919895
