Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
SRX13465624	9947789.0	9928222.0	99.8	19567.0	0.2
SRX13465625	9859255.0	9836841.0	99.77	22414.0	0.23
SRX13465626	12402377.0	12377722.0	99.8	24655.0	0.2
SRX13465627	17298614.0	17255652.0	99.75	42962.0	0.25
SRX13465628	14585929.0	14527456.0	99.6	58473.0	0.4
SRX13465629	9475209.0	9456498.0	99.8	18711.0	0.2
SRX13465630	18578808.0	18489209.0	99.52	89599.0	0.48
SRX13465631	12202427.0	12174783.0	99.77	27644.0	0.23
SRX13465632	17559640.0	17521250.0	99.78	38390.0	0.22
SRX13465633	12987665.0	12950242.0	99.71	37423.0	0.29
SRX13465634	16623279.0	16594696.0	99.83	28583.0	0.17
SRX13465635	11604363.0	11583326.0	99.82	21037.0	0.18
SRX13465636	15019790.0	14987113.0	99.78	32677.0	0.22
SRX13465637	12573396.0	12524402.0	99.61	48994.0	0.39
SRX13465638	44888479.0	44801662.0	99.81	86817.0	0.19
SRX13465639	15418452.0	15340481.0	99.49	77971.0	0.51
SRX13465640	11470196.0	11450176.0	99.83	20020.0	0.17
SRX13465641	30781040.0	30721351.0	99.81	59689.0	0.19
SRX13465642	11985008.0	11963466.0	99.82	21542.0	0.18
SRX13465643	11433054.0	11413325.0	99.83	19729.0	0.17
SRX13465644	13911430.0	13880779.0	99.78	30651.0	0.22
SRX13465645	14387605.0	14350388.0	99.74	37217.0	0.26
SRX13465646	13004449.0	12957664.0	99.64	46785.0	0.36
SRX13465647	20731697.0	20695370.0	99.82	36327.0	0.18
SRX13465648	16172829.0	16100301.0	99.55	72528.0	0.45
SRX13465649	13120169.0	13096927.0	99.82	23242.0	0.18
SRX13465650	17275454.0	17238070.0	99.78	37384.0	0.22
SRX13465651	20108516.0	20056391.0	99.74	52125.0	0.26
SRX13465652	11802026.0	11777115.0	99.79	24911.0	0.21
SRX13465653	11973003.0	11948303.0	99.79	24700.0	0.21
SRX13465654	21768731.0	21680648.0	99.6	88083.0	0.4
SRX13465655	17236147.0	17190839.0	99.74	45308.0	0.26
SRX13465656	19032831.0	18989708.0	99.77	43123.0	0.23
SRX13465657	10321292.0	10258217.0	99.39	63075.0	0.61
SRX13465658	14193928.0	14159344.0	99.76	34584.0	0.24
SRX13465659	16887941.0	16847434.0	99.76	40507.0	0.24
SRX13465660	9806922.0	9787788.0	99.8	19134.0	0.2
SRX13465661	12880643.0	12858486.0	99.83	22157.0	0.17
SRX13465662	12797239.0	12774063.0	99.82	23176.0	0.18
SRX13465663	15694147.0	15625135.0	99.56	69012.0	0.44
SRX13465664	12890761.0	12864315.0	99.79	26446.0	0.21
SRX13465665	12345907.0	12324314.0	99.83	21593.0	0.17
SRX13465666	12721217.0	12665496.0	99.56	55721.0	0.44
SRX13465667	13754014.0	13710304.0	99.68	43710.0	0.32
SRX13465668	22881073.0	22839728.0	99.82	41345.0	0.18
