Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRX13465624	2.6	10013007	527606	10013007	506456871	2545324	503324886	0.6184109998973634
SRX13465625	2.6	9936176	513153	9936176	502457804	2931145	498958855	0.6963667341108707
SRX13465626	2.6	12427128	640869	12427128	629650439	1189932	627751715	0.30155208070934103
SRX13465627	2.6	17430547	911189	17430547	881542385	4953560	875588078	0.6754419414558269
SRX13465628	2.6	14645150	754307	14645150	741567043	2370429	738368725	0.43129182050233045
SRX13465629	2.6	9517613	479735	9517613	481855709	1725471	479599842	0.46816234774547416
SRX13465630	2.6	18764350	985751	18764350	948295128	6879609	940328792	0.8400692742987498
SRX13465631	2.6	12271736	641468	12271736	620991317	2702788	617580718	0.5492184683799692
SRX13465632	2.6	17618064	894444	17618064	892495349	2373960	889125448	0.3775819116341412
SRX13465633	2.6	13050334	665881	13050334	660603676	2457686	657409099	0.4835845024876913
SRX13465634	2.6	16685574	837457	16685574	844919336	2581344	841414446	0.41481948047168377
SRX13465635	2.6	11637127	588744	11637127	589518192	1443117	587421927	0.35558953539469396
SRX13465636	2.6	15096502	734158	15096502	764198389	2973813	760420992	0.4942953367047729
SRX13465637	2.6	12614555	656407	12614555	638797629	1782281	636285086	0.3933237829847988
SRX13465638	2.6	45110741	2269771	45110741	2283360861	8914817	2271932155	0.5005212358328148
SRX13465639	2.6	15554291	797221	15554291	786488042	5054598	780550461	0.7549486683740323
SRX13465640	2.6	11722925	594769	11722925	590255193	9153261	580438424	1.663139793841678
SRX13465641	2.6	30866032	1551806	30866032	1563711107	3749389	1558226837	0.3507214328432854
SRX13465642	2.6	12061631	610700	12061631	610235118	2943580	606616405	0.5930030726288027
SRX13465643	2.6	11471336	576433	11471336	580927835	1622727	578667235	0.38913611361039363
SRX13465644	2.6	13975496	634670	13975496	707755256	2477643	704574586	0.4494025262314689
SRX13465645	2.6	14440448	736952	14440448	731274374	2133799	728325302	0.4032784553722103
SRX13465646	2.6	13082828	667670	13082828	662030156	3095087	658194300	0.5794080473881011
SRX13465647	2.6	20856476	1044025	20856476	1055442729	4905422	1049378655	0.574552634016014
SRX13465648	2.6	16427153	824833	16427153	828740112	9234320	818593914	1.2242918923658905
SRX13465649	2.6	13182813	678480	13182813	667344570	2532271	664056118	0.49276672768911567
SRX13465650	2.6	17337523	871995	17337523	878227820	2503668	874755958	0.395325896189442
SRX13465651	2.6	20170956	1053215	20170956	1021590351	2552226	1017874662	0.3637161408545841
SRX13465652	2.6	11898077	605384	11898077	601552365	3646071	597234202	0.717836592663051
SRX13465653	2.6	12032892	607124	12032892	609044217	2403054	605968397	0.5050240876024934
SRX13465654	2.6	21859183	1116874	21859183	1106880440	3588217	1102057417	0.4357311617142679
SRX13465655	2.6	17293385	887427	17293385	875776610	2308445	872489274	0.3753623883606574
SRX13465656	2.6	19126197	966617	19126197	968395344	3598127	963734553	0.48129010830931873
SRX13465657	2.6	10536159	532752	10536159	530620365	7791709	522234404	1.5804069261457765
SRX13465658	2.6	14239254	735833	14239254	721220463	1950457	718428641	0.3870968924518715
SRX13465659	2.6	16928584	866079	16928584	857593830	1848739	854775286	0.3286572152693776
SRX13465660	2.6	9863669	508498	9863669	499172255	2244643	496362581	0.5628666200608445
SRX13465661	2.6	12965265	640045	12965265	655950750	3273578	651970810	0.6067437227566247
SRX13465662	2.6	12829018	636673	12829018	649912583	1389596	647821337	0.3217734284119869
SRX13465663	2.6	15806220	775602	15806220	799545280	4214841	794479118	0.6336304055224989
SRX13465664	2.6	12952895	666313	12952895	655536627	2478406	652319613	0.4907451189603781
SRX13465665	2.6	12416894	603185	12416894	628465556	2795793	625001785	0.5511473090181572
SRX13465666	2.6	12797900	635777	12797900	647613435	2993306	643915736	0.5709731763053989
SRX13465667	2.6	13827841	654668	13827841	700156684	2818651	696598040	0.5082639473880964
SRX13465668	2.6	22999120	1162024	22999120	1163994302	4726361	1157972289	0.517357601291763
