Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRX8102890	2.6	19267901	6290421	19267901	2885352115	1946748	2875880122	0.32827858169400587
SRX8102891	2.6	15519984	5246287	15519984	2328675956	1567791	2320867882	0.3353010099959137
SRX8102892	2.6	15484020	4593583	15484020	2321503099	4988995	2310828032	0.459834277395466
SRX8102893	2.6	13631320	4889625	13631320	2052911032	1374917	2045837534	0.34455940319580297
SRX8102894	2.6	14637815	4004358	14637815	2196505347	5345882	2186241836	0.46726546848692924
SRX8102895	2.6	13359650	4480279	13359650	2003004873	1374888	1996301915	0.33464511696172994
SRX8102896	2.6	16636442	4984803	16636442	2496080327	6006640	2483945077	0.4861722545037309
SRX8102897	2.6	14579729	5127893	14579729	2187178604	1496085	2179650466	0.34419402175168684
SRX8102898	2.6	17350936	5537020	17350936	2600187305	1837251	2590401248	0.37635969459515534
SRX8102899	2.6	17641612	5629434	17641612	2647038789	6018097	2633778439	0.5009503470483522
SRX8102900	2.6	18409635	5893879	18409635	2759000500	1712568	2748853145	0.36779098082802086
SRX8102901	2.6	14762165	5218310	14762165	2215154732	1475503	2207497536	0.3456731888470173
