Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRX669715	2.6	5274565	768565	5274565	264316585	306025	262876515	0.5448277110571779
SRX669716	2.6	9594043	1537336	9594043	477363831	1565002	466490449	2.2777976239259736
SRX669717	2.6	11515537	1812661	11515537	572630825	1219159	559953136	2.2139375748764483
SRX669718	2.6	8122325	1536923	8122325	399586036	1223283	381765323	4.4597937351344275
SRX669719	2.6	11245230	1530700	11245230	563371922	1206264	559628401	0.664484837425036
SRX669720	2.6	8112528	1131590	8112528	406281480	1352157	402122385	1.0236979052060162
SRX669721	2.6	7608347	988048	7608347	381740405	800838	379030746	0.7098171858438721
SRX669722	2.6	9307099	1302133	9307099	466269260	1553368	461439342	1.035864556029278
