Geneid,SRX9895140,SRX9895141,SRX9895142,SRX9895143,SRX9895144,SRX9895145
SGL_RS00010,6.230489983866855,5.906472931736482,5.988495865800066,6.079149608103849,6.1823917341857495,6.5493818022363754
SGL_RS00015,4.896382353428554,4.3249330211394685,4.422583939550495,4.190046628304627,4.523646953207801,4.755395196174272
SGL_RS20055,7.41772272120555,7.265758178230234,7.105148823925178,7.442786725235945,7.6262968828700615,7.3093614342388475
SGL_RS00020,4.764436396820636,4.8024154703759905,4.836799091521544,4.367252950457683,4.506861004154473,4.866911084264686
SGL_RS00025,0.6156753015447367,1.8788191529973428,1.2943627814535563,1.8907540112189871,1.3427262656459784,1.8679062859320248
SGL_RS00030,1.2860420404399018,1.9615689241611778,0.8361147160188303,1.1184609736887476,1.4118961340515406,1.6547420108071416
SGL_RS00035,0.0,0.0,1.115576904282861,0.0,0.0,0.4844992140403339
SGL_RS00040,8.479614354765813,8.991808093205861,8.660800870963854,8.860449608711107,8.968488589316769,8.847413464001255
SGL_RS00045,4.278217280138254,3.9830414753163685,4.1490929354915345,4.423324823639886,4.544503852006873,3.678668794671212
SGL_RS00050,4.496891714254662,4.458623820038237,4.2224805932725165,4.7343821923109966,4.7336268718920715,4.307490601462118
SGL_RS00055,3.7897379013597527,3.4519886250183816,3.8167561310596985,2.8430298464457096,2.6639947544054676,3.559492236436636
SGL_RS00060,3.316960437867014,2.398620709684143,2.5591985194353075,2.0261756543629352,2.4698594418794153,2.7932747440037247
SGL_RS00065,4.197957220026863,3.4469332853189893,4.042922511156073,3.9947868634851345,4.022424813475322,4.543856902390135
SGL_RS00070,4.122776395689504,3.8180150672668702,3.847351810462541,3.5787462308092737,3.6369775788241783,4.324049731017219
SGL_RS00075,4.306421103101723,3.6226583447153344,4.266853193846085,4.25211781435204,4.41315470041069,4.206702661900569
SGL_RS00080,5.3279535413568775,4.991828459638683,4.851299146767628,4.3874263240410585,4.9520095991871305,5.31289614326517
SGL_RS00085,4.762712640266132,4.468586303107214,4.267893093773661,4.484217781178403,4.524272939369837,4.793516530510446
SGL_RS00090,3.5864750326155246,2.8998539368078524,2.3713877361252456,3.8150120425638314,2.65480016648329,3.420771096482346
SGL_RS00095,3.6235158952061184,3.2548927050198566,3.947089764935687,3.9454014195221783,3.280452227567234,3.4418969204788312
SGL_RS00100,6.159126181028734,6.657767575980529,6.259873674071722,6.7519992172966825,6.423954084242429,6.64472807445694
SGL_RS00105,4.808767986817629,4.152824149973767,4.656006615265222,4.825966219760904,4.90312209318521,4.768711607162203
SGL_RS00110,5.927118274982716,5.071342338006838,5.619914124866349,5.226173638184922,5.408098536644473,5.5696472078279395
SGL_RS00115,5.691136434843411,4.861267729111398,5.178580798790981,4.577904718749508,4.211513345551763,5.0079472894171255
SGL_RS00120,9.276303197667652,8.591599074303566,9.145754488343838,9.266763412201021,8.939699068922428,9.052581553641428
SGL_RS00125,5.019172940823392,4.54834134991998,4.834917219545723,4.629439832356985,4.783006124976201,5.285957333113409
SGL_RS18470,1.6656434799798063,2.6925998805895186,1.9871993750271018,1.912098380194375,2.6381932742219556,3.076609410798565
SGL_RS19675,5.168324245787447,4.5545487382137875,5.010391588537322,6.874603777754441,6.794358061150667,7.777108254563872
SGL_RS00135,7.347314775036745,7.326053343886029,7.616316282576288,7.856827696433762,7.845873709981661,8.047180385224944
SGL_RS00140,5.129104523933056,4.623521874812886,4.763168494232619,4.3899951791386735,4.455003326528781,4.919180891048305
SGL_RS00145,5.136303977703793,4.988430764827738,4.722852146255242,3.9737671921348507,3.7702430715717448,4.908609556854806
SGL_RS00150,5.354756438301043,4.524625786232738,5.00925113022828,4.443842361365335,4.823343138481142,5.21217175207037
SGL_RS00155,5.705433178611847,5.533425843689955,5.744519610378361,5.708773785777555,5.713042848251709,5.738641475099486
SGL_RS18475,4.399729534225859,4.597356713094297,4.385926850059756,4.205816581946885,4.129366799886,4.856611502452919
SGL_RS00160,2.605733991764401,2.5530204626549686,2.6304513503611915,2.296920922800864,2.6984528433002097,3.045832000199666
SGL_RS00165,3.4011276630012075,3.0927387631486227,3.16098127814733,2.958049134613961,3.2930360322519294,3.088303295015977
SGL_RS00170,4.408316842356885,4.026921001889094,4.15106937221404,4.163387186825675,4.596166933369742,4.968923905415203
SGL_RS00175,3.969447177508263,4.0744920675164105,4.193289635838752,5.36974534849335,4.842739107234743,4.973666540841864
SGL_RS00180,2.2958970454331604,2.0215768397144567,2.36472161437629,2.033929822694912,2.819994660096905,3.1662519759645558
SGL_RS00185,4.068758454549945,3.620940528280988,4.092533024417203,4.6722609259899,4.209368500099504,4.779625166906626
SGL_RS00190,4.2988417319013585,3.8017134172974973,4.195094907071076,4.144062341293906,4.309047890942779,4.47762377889924
SGL_RS00195,1.9070281112764236,1.3016019578036,1.7462749647607918,1.311351470304175,1.5199664448068573,2.145117998383849
SGL_RS00200,2.804899106462992,2.5074251339248264,2.818208400133861,1.0898059801039601,1.742923430925537,2.610421019706968
SGL_RS00205,4.295577768242149,3.9251613412570143,4.339632628564421,4.107072840963297,3.5635944583694332,4.315698154178469
SGL_RS00210,4.636841683416253,4.2312046338696,4.530201702301293,4.386172728199352,4.225813672414818,4.693582603427233
SGL_RS00215,4.182372347888217,4.179027289635141,4.018561666149175,4.391979899674789,4.365227676068092,4.675104934695657
SGL_RS00220,4.413915526033113,4.373259665316026,4.414156894315367,4.604950124104035,4.788361990098497,5.204027468028528
SGL_RS00225,4.883592921610777,4.750492358827842,4.726114483474889,4.678559765793007,4.89253272765135,5.176724998619683
SGL_RS00230,8.307010344714051,7.932185251917816,8.17651944239491,8.169697958055018,8.229064212366278,8.320168096351155
SGL_RS00235,4.453063807022247,4.072785966583467,4.383068114635746,4.374102257066864,4.186519228728913,4.814296033632708
SGL_RS00240,2.2081797343184233,2.4254106950772223,2.401165011107413,2.3372038183451855,1.9210331472305537,3.114639623503049
SGL_RS00245,3.2794646921308614,3.5696422282338927,3.549882045657727,3.8374630426748064,4.435575407667664,4.2531082006492955
SGL_RS00250,3.6194931991352766,3.8263793364626393,3.6711665341927806,4.236499671681181,4.468814210707871,5.076768003744996
SGL_RS00255,3.230503210345035,3.0874651054831377,3.178367315656339,3.160461404387605,3.3168061441261276,3.7199891393430193
SGL_RS19680,1.7854424399610331,2.230643654861024,2.1175318026424157,3.2804122516936003,2.65480016648329,2.3752501299172892
SGL_RS00260,3.5704430352060537,3.9682548493695102,3.832664129451014,3.593548007858419,3.691177270497243,4.420674945117494
SGL_RS00265,6.533789246874342,6.162536361001676,6.207138818747335,6.015695648240307,6.181690178438544,6.560351093801653
SGL_RS00270,4.687577834598757,5.004848702797978,4.815982790607826,4.760204491737351,4.604272373908636,5.088141009918724
SGL_RS00275,6.076140005477008,5.21913225710451,5.794565433169601,5.248715290611288,5.333333156153895,5.915979079777786
SGL_RS00280,8.063718485860718,7.988102863731499,8.166463820953876,8.617016713009233,8.203828321224966,8.28057714673463
SGL_RS00285,3.524242854013626,3.394105341690853,3.564552996612667,3.359690126189759,3.335786523309613,3.8373085366486865
SGL_RS00290,6.24128772945674,6.046800353658385,5.9792426497305335,6.197136052337775,6.112892707124136,6.668891025444954
SGL_RS18485,3.4432444983955808,2.2823740110325677,2.3200916974734804,2.8364317670026584,2.9751170387478942,3.4008036742784844
SGL_RS00295,3.303232935592262,2.6338298995173473,2.1252212685621332,3.5276006467733954,3.141393181559052,2.803425209776786
SGL_RS00300,2.291219133951915,1.744671583417495,2.183688987186659,3.0700896258470185,3.086470223494022,3.04813322042002
SGL_RS00305,3.6505316839198962,3.2114386931785592,3.6890970964004106,3.3184681669749287,3.4136959460898577,3.3610787004898466
SGL_RS19300,2.9832009059130122,3.0632738255302336,2.789571698994935,3.7446326901320925,2.175763382114965,3.822625970458098
SGL_RS18490,0.0,0.0,0.9110518600265175,0.989017387594983,0.0,0.0
SGL_RS00315,2.9462688366331253,2.5866817660154826,2.745966194711962,2.9682329224951483,2.7494700764733104,3.128079673221855
SGL_RS00320,9.478411452910375,9.134839520145805,9.27703579442563,9.265999502161495,9.343872085271625,9.061164536578723
SGL_RS19365,6.0354189631358155,5.389506961519873,5.8475970906139665,4.123692713367462,3.9434380684254045,5.377443100806953
SGL_RS00330,7.1759800030888465,7.083766776308326,7.076846678723327,7.256306039967576,7.225098064835067,7.266011120233018
SGL_RS00335,6.933577721736075,6.653510090170479,6.670741212601026,6.400975104124872,6.712081263960977,7.010114104344127
SGL_RS00340,6.061214339237324,5.237383202104373,5.752729599479986,5.992713263266221,5.964677273458147,5.761208304987546
SGL_RS00345,4.537722891891354,3.7397180837883175,4.477986967366465,4.487243693623963,4.822386957623811,5.069499778831292
SGL_RS00350,8.882307043662278,8.814302155816204,8.894110963870094,9.287344289090788,9.380535636219726,9.388245280134193
SGL_RS00355,7.530058726584976,7.043220686440081,7.25079260690869,7.153651774529574,7.348500505828635,7.625923578852177
SGL_RS00360,4.929629446745506,4.5747147057207,4.746917808132432,4.628656882497888,4.885739067630331,5.081568180384032
SGL_RS00365,5.8507866338542565,5.695669767398134,5.55869004173767,6.2856595662834875,6.1800653414304065,6.354483155140089
SGL_RS00370,2.276595862925985,2.5575641094321777,2.282874385603643,2.884512277018333,2.4537665874987438,3.0540151852504125
SGL_RS00375,7.99344498224588,7.8093246822373255,7.849891446416048,8.1653162879504,8.159319226890805,8.351524828284502
SGL_RS19370,1.6074897682710987,2.8438628797586225,2.24026453378875,2.36921512735484,2.5665821935072906,0.7110765342080314
SGL_RS00385,6.338536503183734,5.688194510327749,6.00964572109476,5.933953757434383,5.8379474644085105,6.436591885064942
SGL_RS00390,1.5365415246031406,1.859938693924718,1.929888091818586,2.420242183228953,2.219667513298916,2.231746128054471
SGL_RS00395,0.610704797042927,0.0,1.2858776313589169,0.0,0.5917083323215415,0.9883539367197913
SGL_RS00400,4.088516816386287,3.3536181731797123,3.566807836738865,3.665304747277122,3.949470397739281,4.134439078243068
SGL_RS00405,6.911472194237652,6.188171876228218,6.421897182544977,6.741604541321201,6.530547092491059,6.405306814464284
SGL_RS00410,6.335031282490552,5.400212069335415,5.835972446496096,5.533782186690615,5.382353191457193,5.719667010200959
SGL_RS00415,1.693017161718707,2.1278249879630393,1.6785407030490176,1.0951449106922404,1.8101492686221712,2.8120430112271366
SGL_RS00420,3.351475682890748,3.1401411495492835,3.552322614843758,2.35022375358499,2.7682971475504403,3.758505868906448
SGL_RS00425,0.0,0.0,0.0,0.7247375401805113,0.0,1.1357321080807288
SGL_RS00430,3.4244839654650225,3.4325060362018265,3.2121523382937274,3.7602860499218242,4.054225112178408,3.6684651027096216
SGL_RS00435,4.6568892770383785,4.436522599816847,4.572890318330944,4.7543459447865875,4.770509280680569,5.169207905644289
SGL_RS00440,3.63908154605691,3.2560881020606383,2.949609631490212,2.3611128341029626,3.020147824320099,3.102862515483494
SGL_RS00445,6.385664424361073,6.2538269397977455,6.413384805526862,6.794731339327308,6.757837248027197,6.66897222576774
SGL_RS00450,3.4442838549498394,3.6410864293965246,3.749705631641265,3.4671962921921087,3.2896671481341135,4.383717172728196
SGL_RS00455,3.905172850459954,3.2679419203136786,3.4174577506763137,4.032140513625272,3.8066947321619993,3.739868677071047
SGL_RS18510,4.200097057165104,3.3631872532164904,3.2326434645898603,3.8892598802646132,4.418156879989447,4.106402087498046
SGL_RS00465,0.8249007198921516,1.7348586517073943,1.9287013603743326,0.8359334086236596,1.988665997986637,1.9562283500101725
SGL_RS00470,7.366823852964871,7.366022019375995,7.359121155366711,7.7235326998623925,7.535248030291907,7.45884840890932
SGL_RS00475,5.464818362121162,5.239128974875181,5.382451617461552,5.409396462241065,5.392969778758615,5.275743921048691
SGL_RS00480,2.626414939728109,2.7971232863516233,1.5934111412375578,2.463051231035605,2.7420074246697435,3.5899755866399405
SGL_RS00485,6.609400555581795,6.495982446217289,6.686460327678787,6.548147681895988,6.407647056647423,6.62886608113424
SGL_RS00490,0.0,0.0,0.0,0.0,0.0,0.0
SGL_RS00495,0.0,0.0,0.0,0.0,0.0,0.0
SGL_RS00500,3.8861151435165735,3.301819214011099,3.759281295025805,3.3165347274233294,3.5002531201196856,3.3299617398951646
SGL_RS19305,0.0,0.0,0.0,0.0,0.0,0.0
SGL_RS19685,0.0,0.0,0.0,0.0,0.0,0.0
SGL_RS00510,3.396664537954037,3.462224790140983,3.862234898520754,4.5582676286993085,4.362980594272775,4.874131661399372
SGL_RS00515,10.86837652134841,10.553898338022032,10.60008725672742,10.786851479717724,10.725095625067206,10.466786112497344
SGL_RS00520,3.9557398747189736,3.327934005082449,4.008347554317189,4.321437603938534,4.389013841700071,4.8126279526732905
SGL_RS00525,7.949126511626681,6.477653171296317,7.420706743796027,6.1402056433595975,6.052557894935757,6.93061446325857
SGL_RS00530,4.704031133527757,3.4485775454564123,4.476710517650668,3.386468864738627,3.352248642973162,3.892005216725468
SGL_RS00535,9.0968264243388,9.005375480135902,8.990646983614162,9.233258857950467,9.143042423623873,9.093740750073227
SGL_RS00540,7.401620753444277,7.525236787410056,7.558994197586284,7.541515164675629,7.369913245707579,7.169542905955941
SGL_RS00545,6.808429987971198,6.703609941728013,6.726780000070194,7.095998219166775,6.787520755618594,7.254597076602698
SGL_RS00550,5.247737835544706,4.265393041940861,5.026581894159051,4.390670338331207,4.599572404080799,4.746443963356084
SGL_RS00555,6.376065848102922,5.226778429281393,5.845323438871931,5.683816670658855,5.9745020370981345,6.071475689707237
SGL_RS00560,9.59194581866743,9.334539464809188,9.47878597764996,9.793270503316284,9.720772042585653,9.830018598422066
SGL_RS00565,10.663424725929774,10.554862051399402,10.578244675117771,10.813493966739715,10.810525175899082,10.992582712326323
SGL_RS00570,7.958006028412543,7.426916992724762,8.058821369578864,7.765953621153892,7.423747647928088,8.34177165816131
