Geneid,ERX1320318,ERX3440931,SRX315307
BSU_00010,8.381707044318048,6.374369750128776,6.961832205349142
BSU_00020,7.674996291258315,6.032203301244133,6.5819396670870525
BSU_00030,6.854180174061144,7.27911466995973,6.281161080256484
BSU_00040,9.179236192737044,7.574996870321432,8.29406097858412
BSU_00050,9.771158354748438,6.808476924657747,6.096108243624293
BSU_00060,8.739682044724503,8.31742684239834,6.711537484484271
BSU_00070,8.735697005854565,8.235064012485934,7.43023505380331
BSU_00080,3.2796194553452183,5.398507182072733,5.740830587601419
BSU_00090,9.807421911418297,7.466310297879051,7.094283925273329
BSU_00100,8.25165386150536,3.8828920379978644,7.107927724438367
BSU_00110,8.314050576320689,6.490294383387126,8.361520175177642
BSU_00120,9.092614019309844,7.289890264508191,6.152713289993425
BSU_00130,8.42403596186835,4.832504749110971,6.5208576057187635
BSU_00140,8.41754729444474,2.4833039765441396,6.846744952083878
BSU_00150,6.739741735503243,2.2779904418000267,7.4407432379407155
BSU_00160,5.051259835824964,9.94969208593424,6.873232285578784
BSU_00170,5.535236981362413,2.7004457881021193,7.105063271454929
BSU_00180,8.26140289906867,4.538820904890418,5.134239881889658
BSU_00190,7.616366418528119,6.0434939823999,6.629437930493993
BSU_00200,8.26140289906867,7.907665636449584,7.0106873089898185
BSU_00210,10.505232498040519,7.39233318426454,8.92803856043132
BSU_00220,7.207593625828035,7.071111893243691,6.223040123548243
BSU_00230,9.217539931771976,6.183146173207571,6.984422265510933
BSU_00240,6.42118451567809,9.67997980783467,6.426913615333534
BSU_00250,5.367477677978515,7.98276704365196,7.928792984479014
BSU_00260,6.432195569775578,7.681867488826459,8.77027076423687
BSU_00270,8.076668186451595,6.558158876990477,6.242147916951636
BSU_00280,6.2953583452313815,6.061641303158727,8.22609371611237
BSU_00290,8.456725958579224,7.356591148461349,6.984422265510933
BSU_00300,7.693364932523364,6.370071702792096,6.830438165735057
BSU_00310,8.555987855541265,7.1378862993246575,7.163653486265711
BSU_00320,7.847931744791694,6.825680301654942,7.0353707193295785
BSU_00330,9.521692102421806,8.088022385403212,6.541100411158688
BSU_00340,6.488578822842764,6.194755988322683,9.363054504145557
BSU_00350,5.808732617942697,5.358965824625296,6.3908176234740095
BSU_00360,7.0501440171496785,6.295580928779453,6.574800722253259
BSU_00370,10.97716876859489,5.401854190052862,4.882268575910106
BSU_00380,7.343719447852275,8.152756311367245,7.0660120463302
BSU_00390,4.492191251438707,5.4339575098104795,6.258735426788477
BSU_00400,9.340559108780216,7.541839257369369,7.473125731220538
BSU_00410,5.904020418696753,5.399781272902982,6.226840946428708
BSU_00420,9.188532794384551,4.9250990413809586,5.589856190305786
BSU_00430,0.0,3.814708594395522,7.34391067891879
BSU_00440,13.102780222532507,10.343024365848274,7.581983532165448
BSU_00450,0.0,10.069662650813758,7.073929399153429
BSU_00460,6.433424346629964,6.011496532054444,6.725634495693615
BSU_00470,8.942108758728846,7.073613160906601,5.309392639476396
BSU_00480,9.309595064973255,7.29197079080231,6.471485474722331
BSU_00490,9.514322637281039,14.020786255410265,6.419620072049175
BSU_00500,8.150244252967614,5.991974150855505,5.625880426841311
BSU_00510,8.288282877619055,6.121478684401781,7.1298700085565425
BSU_00520,10.568267998508928,10.283264954006036,6.934701527382136
BSU_00530,6.87670539622941,8.110659616256905,5.894629086675078
BSU_00540,8.164867821960927,11.037416848810357,0.0
BSU_00550,7.49927730307094,8.374941447229078,7.791407204644946
BSU_00560,7.53556217573281,9.44433266080529,8.99582229030115
BSU_00570,5.569261491330393,3.7232721534265316,7.191681114339882
BSU_00580,6.824692595511182,4.064372285066324,6.966788797557308
BSU_00590,7.797529296534096,6.754940671655914,7.320454254559372
BSU_00600,7.10088354410508,10.865151655937519,7.106638006451409
BSU_00610,7.168195566021395,9.396273665540017,6.886663801223943
BSU_00620,9.037050151988026,10.736977459815794,8.045568485555984
BSU_00630,10.438798968756144,10.752557668291306,7.886728348170975
BSU_00640,4.950486228607895,9.763448289804506,7.0353707193295785
BSU_00650,5.831590533337602,10.197375213639717,7.306398996200144
BSU_00660,6.3610639653513354,9.432695020004706,6.626908061982803
BSU_00670,8.45193865978115,10.06644684810904,6.371603173304211
BSU_00680,9.388358741946643,9.084756831030948,5.548687313765365
BSU_00690,10.377077803943315,9.578005638814888,6.713775448832967
BSU_00700,6.745249339661981,5.08114848412733,5.449016917132409
BSU_00710,9.823349855153646,5.563137982135963,7.252085957503268
BSU_00720,5.818211192295434,6.277742257434513,6.811114452526946
BSU_00730,8.71318607320485,8.498075953051215,7.170998375176146
BSU_00740,6.730609736626923,5.558221350117623,6.654685430410287
BSU_00750,6.832007189050503,6.838538744759335,6.167228913859988
BSU_00760,8.039793862807235,5.2261668329941084,7.632349941587565
BSU_00770,6.739741735503243,6.007875305443511,5.882176505082629
BSU_00780,8.2130651104347,5.63834420434758,6.5292568636043935
BSU_00790,7.741498151252271,6.526115042495906,6.3794595205201485
BSU_00800,9.386954933591364,7.239844294867966,8.765881874673031
BSU_00810,8.69026732385692,6.6681744775095035,5.880760406447671
BSU_00820,7.8931805325610735,6.583387779322393,6.801550505971507
BSU_00830,7.329417392112254,9.629569432736023,8.248505301155165
BSU_00840,8.062790454137577,7.9194728206752085,10.622092565482285
BSU_00850,7.017465462543686,9.19254656925905,7.023217416254744
