Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
SRX12668170	11520352.0	6611263.0	57.39	4909089.0	42.61
SRX12668171	14720811.0	6622947.0	44.99	8097864.0	55.01
SRX12668172	11368279.0	6407478.0	56.36	4960801.0	43.64
SRX12668173	12834537.0	2377948.0	18.53	10456589.0	81.47
SRX12668174	11292254.0	2345809.0	20.77	8946445.0	79.23
SRX12668175	10715545.0	1873604.0	17.48	8841941.0	82.52
SRX12668176	12822127.0	3580952.0	27.93	9241175.0	72.07
SRX12668177	10326511.0	1782643.0	17.26	8543868.0	82.74
SRX12668178	10708694.0	2157934.0	20.15	8550760.0	79.85
SRX12668179	8218959.0	3668493.0	44.63	4550466.0	55.37
SRX12668180	9465007.0	3047563.0	32.2	6417444.0	67.8
SRX12668181	6469086.0	895362.0	13.84	5573724.0	86.16
SRX12668182	6819884.0	415039.0	6.09	6404845.0	93.91
SRX12668183	16149057.0	7433541.0	46.03	8715516.0	53.97
SRX12668184	12259954.0	4760837.0	38.83	7499117.0	61.17
SRX12668185	14475807.0	1054326.0	7.28	13421481.0	92.72
SRX12668186	7593472.0	693310.0	9.13	6900162.0	90.87
SRX12668187	10335717.0	841223.0	8.14	9494494.0	91.86
SRX12668188	9750209.0	2842497.0	29.15	6907712.0	70.85
SRX12668189	10132821.0	4581138.0	45.21	5551683.0	54.79
SRX12668190	5482204.0	802058.0	14.63	4680146.0	85.37
SRX12668191	7495736.0	261015.0	3.48	7234721.0	96.52
SRX12668192	8011502.0	1889688.0	23.59	6121814.0	76.41
SRX12668193	12360799.0	2252005.0	18.22	10108794.0	81.78
SRX12668194	13992039.0	5501362.0	39.32	8490677.0	60.68
SRX12668195	10773371.0	4500899.0	41.78	6272472.0	58.22
SRX12668196	11026111.0	2864041.0	25.98	8162070.0	74.02
SRX12668197	11186510.0	3186990.0	28.49	7999520.0	71.51
SRX12668198	9988043.0	3072916.0	30.77	6915127.0	69.23
SRX12668199	9486145.0	1264245.0	13.33	8221900.0	86.67
SRX12668200	10593061.0	3344135.0	31.57	7248926.0	68.43
SRX12668201	14415541.0	2331768.0	16.18	12083773.0	83.82
SRX12668203	13401609.0	3976231.0	29.67	9425378.0	70.33
SRX12668204	16133427.0	8544756.0	52.96	7588671.0	47.04
SRX12668205	9986189.0	4179659.0	41.85	5806530.0	58.15
SRX12668206	12610427.0	3935956.0	31.21	8674471.0	68.79
SRX12668207	11241178.0	6487546.0	57.71	4753632.0	42.29
SRX12668208	14504883.0	4931249.0	34.0	9573634.0	66.0
SRX12668209	11505807.0	4777629.0	41.52	6728178.0	58.48
SRX12668210	17578710.0	5051131.0	28.73	12527579.0	71.27
SRX12668211	14222506.0	5757448.0	40.48	8465058.0	59.52
SRX12668212	15335829.0	3351918.0	21.86	11983911.0	78.14
SRX12668213	14499710.0	7165071.0	49.42	7334639.0	50.58
SRX12668214	11356170.0	3969815.0	34.96	7386355.0	65.04
SRX12668215	12011257.0	7145942.0	59.49	4865315.0	40.51
SRX12668216	10742692.0	5818855.0	54.17	4923837.0	45.83
SRX12668217	14635822.0	4320147.0	29.52	10315675.0	70.48
SRX12668218	12572892.0	4255355.0	33.85	8317537.0	66.15
SRX12668219	7970240.0	4465557.0	56.03	3504683.0	43.97
SRX12668220	12592042.0	4726397.0	37.53	7865645.0	62.47
SRX12668221	9016881.0	1973362.0	21.89	7043519.0	78.11
SRX12668222	13429405.0	4971196.0	37.02	8458209.0	62.98
SRX12668223	11754779.0	4528376.0	38.52	7226403.0	61.48
SRX12668224	9344484.0	384001.0	4.11	8960483.0	95.89
SRX12668225	9345575.0	1793843.0	19.19	7551732.0	80.81
SRX12668226	6156038.0	2149372.0	34.91	4006666.0	65.09
SRX12668227	10612090.0	5208417.0	49.08	5403673.0	50.92
SRX12668228	11578492.0	3446114.0	29.76	8132378.0	70.24
SRX12668229	10969088.0	2394923.0	21.83	8574165.0	78.17
SRX12668230	9208484.0	437023.0	4.75	8771461.0	95.25
SRX12668231	14701330.0	6862227.0	46.68	7839103.0	53.32
SRX12668232	9892187.0	2644351.0	26.73	7247836.0	73.27
SRX12668233	12236174.0	6606113.0	53.99	5630061.0	46.01
SRX12668234	12335503.0	4264678.0	34.57	8070825.0	65.43
SRX12668235	11517690.0	5671619.0	49.24	5846071.0	50.76
SRX12668236	11612673.0	4027505.0	34.68	7585168.0	65.32
SRX12668237	9772016.0	3983205.0	40.76	5788811.0	59.24
SRX12668238	8905739.0	1675184.0	18.81	7230555.0	81.19
SRX12668239	10081783.0	4608304.0	45.71	5473479.0	54.29
SRX12668240	12331921.0	2731569.0	22.15	9600352.0	77.85
SRX12668241	11027309.0	2229986.0	20.22	8797323.0	79.78
SRX12668242	6460376.0	2165882.0	33.53	4294494.0	66.47
