Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRX12668170	19.835149134332006	2285079	57.39	6611263.0	0.3374856978300473	87.25514851092686	48.0	142.83976991328043	27.27272727272727	11520352.0
SRX12668171	15.766040335685311	2320889	44.99	6622947.0	0.2782008253556578	91.45565242374205	47.0	141.94157441461616	27.27272727272727	14720811.0
SRX12668172	22.47349840727871	2554850	56.36	6407478.0	0.29227212603446684	86.54575597835456	48.0	141.58303609543714	27.27272727272727	11368279.0
SRX12668173	2.9623663089677486	380206	18.53	2377948.0	0.2902019574886217	96.0304869299905	46.0	141.02039894388088	27.27272727272727	12834537.0
SRX12668174	2.971257996853418	335522	20.77	2345809.0	0.28354262903781374	95.88219301467967	46.0	140.35829321586283	27.27272727272727	11292254.0
SRX12668175	2.408855545844845	258122	17.48	1873604.0	0.3173459290449673	96.00435422015826	45.0	141.57104645633984	36.36363636363637	10715545.0
SRX12668176	4.46867356718585	572979	27.93	3580952.0	0.27926670032842893	95.46994561795815	47.0	141.79696059787895	27.27272727272727	12822127.0
SRX12668177	3.310973086650467	341908	17.26	1782643.0	0.315792185640157	95.80358928690389	45.0	142.06429809642387	27.27272727272727	10326511.0
SRX12668178	2.6323377995486656	281889	20.15	2157934.0	0.28651976123184725	95.48910483576277	46.0	141.0881412803466	27.27272727272727	10708694.0
SRX12668179	17.43818164806516	1433237	44.63	3668493.0	0.33093257736660175	87.17850208356654	47.0	141.07416036507786	27.27272727272727	8218959.0
SRX12668180	4.307984135669419	407751	32.2	3047563.0	0.3457324242861402	94.63104686476703	47.0	139.36434109346143	27.27272727272727	9465007.0
SRX12668181	5.221665008008859	337794	13.84	895362.0	0.30590875619272956	92.73814014672088	44.0	137.29676294301854	36.36363636363637	6469086.0
SRX12668182	1.3156088871892835	89723	6.09	415039.0	0.3299386708411867	96.15421735756846	44.0	135.08113920999241	36.36363636363637	6819884.0
SRX12668183	19.010459867718595	3070010	46.03	7433541.0	0.28421830122040576	90.71742647047381	46.0	139.18167172237983	27.27272727272727	16149057.0
SRX12668184	2.764202867319078	338890	38.83	4760837.0	0.3344300282540009	95.6820109792124	47.0	141.39415147887178	27.27272727272727	12259954.0
SRX12668185	1.3478626787439207	195114	7.28	1054326.0	0.30727789802338973	97.08327981197843	45.0	141.61086839579997	36.36363636363637	14475807.0
SRX12668186	2.0883859188524037	158581	9.13	693310.0	0.29315327977790817	95.39577894715458	45.0	140.62835367009978	27.27272727272727	7593472.0
SRX12668187	1.5969864499966475	165060	8.14	841223.0	0.31212096046396287	96.00389792498255	44.0	138.75604053400457	27.27272727272727	10335717.0
SRX12668188	12.5825507945522	1226825	29.15	2842497.0	0.28904443217458636	90.06371968703397	46.0	138.9384323966799	27.27272727272727	9750209.0
SRX12668189	21.446071138530918	2173092	45.21	4581138.0	0.2844399882114476	86.08406200750535	47.0	136.495360472666	27.27272727272727	10132821.0
SRX12668190	1.8898238737558835	103604	14.63	802058.0	0.33189077926366495	95.33542415812548	44.0	133.4744568060583	27.27272727272727	5482204.0
SRX12668191	0.8562601457682074	64183	3.48	261015.0	0.3202920680658396	96.68375851549773	42.0	138.91218634167478	36.36363636363637	7495736.0
SRX12668192	4.555113385729667	364933	23.59	1889688.0	0.3246965699380724	94.06394819923334	46.0	139.14031563619406	27.27272727272727	8011502.0
SRX12668193	3.5821470764147203	442782	18.22	2252005.0	0.31105473166628117	95.1903004368075	46.0	140.31719146958056	27.27272727272727	12360799.0
