Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRX12668194	14.673172366086174	2053076	39.32	5501362.0	0.32656131809367667	90.607556968694	47.0	139.1232047023311	27.27272727272727	13992039.0
SRX12668195	7.980881750011208	859810	41.78	4500899.0	0.28101993404022213	92.49895873271889	47.0	138.55242309951083	27.27272727272727	10773371.0
SRX12668196	7.524085328000053	829614	25.98	2864041.0	0.2802448829362348	93.14389362305869	47.0	140.12370263640554	27.27272727272727	11026111.0
SRX12668197	7.684335865251987	859609	28.49	3186990.0	0.2976159112956342	93.39317714759713	45.0	134.0017474618983	27.27272727272727	11186510.0
SRX12668198	11.830105256855623	1181596	30.77	3072916.0	0.29391221212876195	91.33440431392135	45.0	131.34936273301986	27.27272727272727	9988043.0
SRX12668199	4.231002161573537	401359	13.33	1264245.0	0.3266517321065392	94.12145002876525	44.0	133.52644103584754	36.36363636363637	9486145.0
SRX12668200	10.48832816123687	1111035	31.57	3344135.0	0.2817433808631867	91.2142313405745	47.0	139.84741964574735	27.27272727272727	10593061.0
SRX12668201	6.318645966876997	910867	16.18	2331768.0	0.29617705809942935	93.72218464532772	45.0	140.54903836075246	36.36363636363637	14415541.0
SRX12668203	13.479441162624578	1806462	29.67	3976231.0	0.330577303682262	91.24771046289379	46.0	139.94236699488846	27.27272727272727	13401609.0
SRX12668204	22.953127069654823	3703126	52.96	8544756.0	0.28024376335150014	90.19851923007444	47.0	137.38923534348902	27.27272727272727	16133427.0
SRX12668205	9.4207409853749	940773	41.85	4179659.0	0.3461293863073686	92.25012868452247	47.0	137.30048479955667	27.27272727272727	9986189.0
SRX12668206	9.526893895028298	1201382	31.21	3935956.0	0.3205526627030141	92.21215050224477	46.0	137.20738544380774	27.27272727272727	12610427.0
SRX12668207	28.713698866791365	3227758	57.71	6487546.0	0.2733300247872685	86.97824369611504	47.0	137.05385859026518	27.27272727272727	11241178.0
SRX12668208	15.168967581468944	2200241	34.0	4931249.0	0.3254815349258995	89.90260638060404	45.0	137.20035956167314	27.27272727272727	14504883.0
SRX12668209	18.697419485656244	2151289	41.52	4777629.0	0.2822204703716831	88.94575400908184	47.0	138.91209656132767	27.27272727272727	11505807.0
SRX12668210	15.541379316229689	2731974	28.73	5051131.0	0.306002275761083	91.54139637920032	46.0	140.38091486804208	27.27272727272727	17578710.0
SRX12668211	17.608542404552335	2504376	40.48	5757448.0	0.27775553263439984	89.8393819503855	47.0	140.4410526527463	27.27272727272727	14222506.0
SRX12668212	11.410925356562075	1749960	21.86	3351918.0	0.3093414504215882	92.59925233176847	45.0	139.46600884764692	27.27272727272727	15335829.0
SRX12668213	28.264241146891905	4098233	49.42	7165071.0	0.2740414505182124	87.8399911127764	48.0	140.66297429396863	27.27272727272727	14499710.0
SRX12668214	17.689775690219502	2008881	34.96	3969815.0	0.29151065608055304	88.3333432847041	46.0	136.5636038382659	27.27272727272727	11356170.0
SRX12668215	29.39200285199126	3530349	59.49	7145942.0	0.3209133282585418	86.6325712328743	47.0	140.23085726997598	27.27272727272727	12011257.0
SRX12668216	24.614621735408594	2644273	54.17	5818855.0	0.28548794990539783	87.44693459740114	47.0	136.81998757853245	27.27272727272727	10742692.0
SRX12668217	11.205014655138605	1639946	29.52	4320147.0	0.28141772736812315	91.19556627138984	46.0	140.61278696884943	27.27272727272727	14635822.0
SRX12668218	9.714304393929416	1221369	33.85	4255355.0	0.31593304023078406	92.74306165302372	47.0	140.73517699825942	27.27272727272727	12572892.0
SRX12668219	23.07394758501626	1839049	56.03	4465557.0	0.27358525404107914	83.78516396383534	48.0	141.3656319006705	27.27272727272727	7970240.0
SRX12668220	14.1251990741454	1778651	37.53	4726397.0	0.2869511583645356	90.56859293322815	47.0	140.5991993196973	27.27272727272727	12592042.0
SRX12668221	8.325805785836588	750728	21.89	1973362.0	0.297034636237563	93.57406132174852	46.0	139.33291434144468	27.27272727272727	9016881.0
SRX12668222	18.989903126758037	2550231	37.02	4971196.0	0.314135857768559	89.3840228578136	46.0	139.00117853322615	27.27272727272727	13429405.0
SRX12668223	20.056599958195726	2357609	38.52	4528376.0	0.2861448911130307	89.5156933148844	46.0	137.28590320583655	27.27272727272727	11754779.0
SRX12668224	1.5595510677743147	145732	4.11	384001.0	0.30652454279610764	96.36516931658271	43.0	139.54867502582272	27.27272727272727	9344484.0
SRX12668225	10.130676817638294	946770	19.19	1793843.0	0.3134552799723343	91.62958804383842	46.0	140.5111354839055	27.27272727272727	9345575.0
SRX12668226	19.137471211191354	1178110	34.91	2149372.0	0.2878623170504024	83.41515472795477	47.0	141.07255624477952	27.27272727272727	6156038.0
SRX12668227	22.624883505511168	2400973	49.08	5208417.0	0.27854526054643264	86.1869715881798	47.0	141.50190933171504	27.27272727272727	10612090.0
SRX12668228	14.565143716470159	1686424	29.76	3446114.0	0.3076004228946083	89.97809083403145	46.0	141.2279732110192	27.27272727272727	11578492.0
SRX12668229	9.491071636949217	1041084	21.83	2394923.0	0.29358005922967245	91.30766550098718	45.0	139.42672462833738	27.27272727272727	10969088.0
SRX12668230	1.7997967960850019	165734	4.75	437023.0	0.30960191014950883	95.73034985069769	44.0	138.8374491392937	36.36363636363637	9208484.0
SRX12668231	13.145055583406398	1932498	46.68	6862227.0	0.2780058621858056	89.61400066849227	47.0	140.57795063439838	27.27272727272727	14701330.0
SRX12668232	6.090281148142469	602462	26.73	2644351.0	0.32135968974131024	92.21282397442094	45.0	139.71078781668805	27.27272727272727	9892187.0
SRX12668233	8.105924286464052	991855	53.99	6606113.0	0.3344324931624522	91.32736424228739	49.0	141.53287367440183	27.27272727272727	12236174.0
SRX12668234	15.687215997596532	1935097	34.57	4264678.0	0.29781918028528576	91.30468035400374	46.0	139.76023742201676	27.27272727272727	12335503.0
SRX12668235	18.254241953030512	2102467	49.24	5671619.0	0.27529444302603545	88.22753627181075	48.0	139.87203831671107	27.27272727272727	11517690.0
SRX12668236	12.338812950300072	1432866	34.68	4027505.0	0.32047533563691283	89.25476607593356	47.0	140.68981120884055	27.27272727272727	11612673.0
SRX12668237	20.353599502907077	1988957	40.76	3983205.0	0.2829306550615493	83.75436057747615	47.0	138.90549104708793	27.27272727272727	9772016.0
SRX12668238	8.047945263161205	716729	18.81	1675184.0	0.303663915612352	91.17828642857626	45.0	138.0273020576956	27.27272727272727	8905739.0
SRX12668239	22.08603378985642	2226666	45.71	4608304.0	0.2842325986763289	85.78621388366956	47.0	136.79941831717665	27.27272727272727	10081783.0
SRX12668240	10.555014097154855	1301636	22.15	2731569.0	0.30417719010654315	91.67213820601852	44.0	137.3339721362146	27.27272727272727	12331921.0
SRX12668241	8.661387832697896	955118	20.22	2229986.0	0.31953186271079276	91.75488354665181	45.0	139.7645229674801	27.27272727272727	11027309.0
SRX12668242	12.982402262654682	838712	33.53	2165882.0	0.345467481402566	88.71761256705425	44.0	131.09080059736462	27.27272727272727	6460376.0
