Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRX12668170	11520352	2285079	3749464	4909089	0	0	0	0	1841	0	0	0	0	364187	209043	1649	19.835149134332006
SRX12668171	14720811	2320889	3736416	8097864	0	0	0	0	868	0	0	0	0	359313	203977	1484	15.766040335685311
SRX12668172	11368279	2554850	3222069	4960801	0	0	0	0	683	0	0	0	0	405248	223031	1597	22.47349840727871
SRX12668173	12834537	380206	1913647	10456589	0	0	0	0	110	0	0	0	0	49079	34709	197	2.9623663089677486
SRX12668174	11292254	335522	1924416	8946445	0	0	0	0	70	0	0	0	0	53958	31629	214	2.971257996853418
SRX12668175	10715545	258122	1546895	8841941	0	0	0	0	86	0	0	0	0	41613	26682	206	2.408855545844845
SRX12668176	12822127	572979	2891458	9241175	0	0	0	0	268	0	0	0	0	63895	52044	308	4.46867356718585
SRX12668177	10326511	341908	1354877	8543868	0	0	0	0	364	0	0	0	0	54865	30342	287	3.310973086650467
SRX12668178	10708694	281889	1808525	8550760	0	0	0	0	135	0	0	0	0	41892	25288	205	2.6323377995486656
SRX12668179	8218959	1433237	1882186	4550466	0	0	0	0	345	0	0	0	0	229166	122694	865	17.43818164806516
SRX12668180	9465007	407751	2543175	6417444	0	0	0	0	93	0	0	0	0	56662	39674	208	4.307984135669419
SRX12668181	6469086	337794	452589	5573724	0	0	0	0	75	0	0	0	0	73765	30806	333	5.221665008008859
SRX12668182	6819884	89723	288247	6404845	0	0	0	0	23	0	0	0	0	27988	8969	89	1.3156088871892835
SRX12668183	16149057	3070010	3450575	8715516	0	0	0	0	589	0	0	0	0	605742	304496	2129	19.010459867718595
SRX12668184	12259954	338890	4323493	7499117	0	0	0	0	293	0	0	0	0	65831	32114	216	2.764202867319078
SRX12668185	14475807	195114	810212	13421481	0	0	0	0	59	0	0	0	0	31638	17172	131	1.3478626787439207
SRX12668186	7593472	158581	485562	6900162	0	0	0	0	20	0	0	0	0	33069	15938	140	2.0883859188524037
SRX12668187	10335717	165060	622872	9494494	0	0	0	0	35	0	0	0	0	37791	15314	151	1.5969864499966475
SRX12668188	9750209	1226825	1256068	6907712	0	0	0	0	201	0	0	0	0	245456	113039	908	12.5825507945522
SRX12668189	10132821	2173092	1757586	5551683	0	0	0	0	380	0	0	0	0	446255	202213	1612	21.446071138530918
SRX12668190	5482204	103604	661037	4680146	0	0	0	0	22	0	0	0	0	26145	11149	101	1.8898238737558835
SRX12668191	7495736	64183	171538	7234721	0	0	0	0	19	0	0	0	0	17708	7468	99	0.8562601457682074
SRX12668192	8011502	364933	1427965	6121814	0	0	0	0	75	0	0	0	0	63161	33323	231	4.555113385729667
SRX12668193	12360799	442782	1684554	10108794	0	0	0	0	148	0	0	0	0	85087	39075	359	3.5821470764147203
SRX12668194	13992039	2053076	2880885	8490677	0	0	0	0	524	0	0	0	0	384265	181222	1390	14.673172366086174
SRX12668195	10773371	859810	3401811	6272472	0	0	0	0	266	0	0	0	0	159790	78714	508	7.980881750011208
SRX12668196	11026111	829614	1828054	8162070	0	0	0	0	435	0	0	0	0	138908	66480	550	7.524085328000053
SRX12668197	11186510	859609	2068511	7999520	0	0	0	0	191	0	0	0	0	178934	79088	657	7.684335865251987
SRX12668198	9988043	1181596	1495541	6915127	0	0	0	0	315	0	0	0	0	279849	114603	1012	11.830105256855623
SRX12668199	9486145	401359	722870	8221900	0	0	0	0	101	0	0	0	0	99369	40180	366	4.231002161573537
SRX12668200	10593061	1111035	1930728	7248926	0	0	0	0	213	0	0	0	0	203641	97696	822	10.48832816123687
SRX12668201	14415541	910867	1171660	12083773	0	0	0	0	129	0	0	0	0	170900	77520	692	6.318645966876997
SRX12668203	13401609	1806462	1691622	9425378	0	0	0	0	409	0	0	0	0	316110	160457	1171	13.479441162624578
SRX12668204	16133427	3703126	3781441	7588671	0	0	0	0	920	0	0	0	0	718598	338220	2451	22.953127069654823
SRX12668205	9986189	940773	2961243	5806530	0	0	0	0	228	0	0	0	0	185411	91365	639	9.4207409853749
SRX12668206	12610427	1201382	2380630	8674471	0	0	0	0	301	0	0	0	0	245364	107401	878	9.526893895028298
SRX12668207	11241178	3227758	2385585	4753632	0	0	0	0	625	0	0	0	0	583638	287959	1981	28.713698866791365
SRX12668208	14504883	2200241	2036246	9573634	0	0	0	0	352	0	0	0	0	478666	214051	1693	15.168967581468944
SRX12668209	11505807	2151289	2045346	6728178	0	0	0	0	482	0	0	0	0	399245	179939	1328	18.697419485656244
SRX12668210	17578710	2731974	1656187	12527579	0	0	0	0	517	0	0	0	0	450710	210050	1693	15.541379316229689
SRX12668211	14222506	2504376	2628524	8465058	0	0	0	0	744	0	0	0	0	412070	209977	1757	17.608542404552335
SRX12668212	15335829	1749960	1172220	11983911	0	0	0	0	381	0	0	0	0	288696	139542	1119	11.410925356562075
SRX12668213	14499710	4098233	2027074	7334639	0	0	0	0	1124	0	0	0	0	692503	343570	2567	28.264241146891905
SRX12668214	11356170	2008881	1366321	7386355	0	0	0	0	395	0	0	0	0	411536	181180	1502	17.689775690219502
SRX12668215	12011257	3530349	2506599	4865315	0	0	0	0	668	0	0	0	0	755285	350672	2369	29.39200285199126
SRX12668216	10742692	2644273	2298527	4923837	0	0	0	0	616	0	0	0	0	616596	257122	1721	24.614621735408594
SRX12668217	14635822	1639946	2139647	10315675	0	0	0	0	387	0	0	0	0	386945	152069	1153	11.205014655138605
SRX12668218	12572892	1221369	2637275	8317537	0	0	0	0	521	0	0	0	0	292385	102973	832	9.714304393929416
SRX12668219	7970240	1839049	2116072	3504683	0	0	0	0	714	0	0	0	0	337680	170677	1365	23.07394758501626
SRX12668220	12592042	1778651	2479512	7865645	0	0	0	0	394	0	0	0	0	307371	159372	1097	14.1251990741454
SRX12668221	9016881	750728	1025312	7043519	0	0	0	0	122	0	0	0	0	133482	63221	497	8.325805785836588
SRX12668222	13429405	2550231	1756312	8458209	0	0	0	0	575	0	0	0	0	440648	221818	1612	18.989903126758037
SRX12668223	11754779	2357609	1551997	7226403	0	0	0	0	582	0	0	0	0	413490	203162	1536	20.056599958195726
SRX12668224	9344484	145732	200667	8960483	0	0	0	0	35	0	0	0	0	25194	12291	82	1.5595510677743147
SRX12668225	9345575	946770	609462	7551732	0	0	0	0	227	0	0	0	0	160227	76570	587	10.130676817638294
SRX12668226	6156038	1178110	692091	4006666	0	0	0	0	309	0	0	0	0	191708	86471	683	19.137471211191354
SRX12668227	10612090	2400973	2194623	5403673	0	0	0	0	755	0	0	0	0	406738	203706	1622	22.624883505511168
SRX12668228	11578492	1686424	1305886	8132378	0	0	0	0	552	0	0	0	0	315173	137099	980	14.565143716470159
SRX12668229	10969088	1041084	1011149	8574165	0	0	0	0	188	0	0	0	0	249945	91695	862	9.491071636949217
SRX12668230	9208484	165734	206052	8771461	0	0	0	0	36	0	0	0	0	50275	14796	130	1.7997967960850019
SRX12668231	14701330	1932498	4409821	7839103	0	0	0	0	339	0	0	0	0	338355	179830	1384	13.145055583406398
SRX12668232	9892187	602462	1880026	7247836	0	0	0	0	122	0	0	0	0	103250	58091	400	6.090281148142469
SRX12668233	12236174	991855	5384719	5630061	0	0	0	0	469	0	0	0	0	142552	85992	526	8.105924286464052
SRX12668234	12335503	1935097	1815101	8070825	0	0	0	0	660	0	0	0	0	335665	177125	1030	15.687215997596532
SRX12668235	11517690	2102467	3065894	5846071	0	0	0	0	693	0	0	0	0	321264	179943	1358	18.254241953030512
SRX12668236	11612673	1432866	2255253	7585168	0	0	0	0	466	0	0	0	0	223988	114067	865	12.338812950300072
SRX12668237	9772016	1988957	1489292	5788811	0	0	0	0	424	0	0	0	0	339097	164142	1293	20.353599502907077
SRX12668238	8905739	716729	773071	7230555	0	0	0	0	193	0	0	0	0	127462	57239	490	8.047945263161205
SRX12668239	10081783	2226666	1771227	5473479	0	0	0	0	582	0	0	0	0	416225	192105	1499	22.08603378985642
SRX12668240	12331921	1301636	1036371	9600352	0	0	0	0	318	0	0	0	0	276410	115846	988	10.555014097154855
SRX12668241	11027309	955118	987511	8797323	0	0	0	0	195	0	0	0	0	207275	79224	663	8.661387832697896
SRX12668242	6460376	838712	991803	4294494	0	0	0	0	315	0	0	0	0	245837	88469	746	12.982402262654682
