Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRX12668170	2.6	11521763	3926298	11521763	1649856286	287036	1644288257	0.3374856978300473
SRX12668171	2.6	14722609	4271988	14722609	2109687846	358866	2103818677	0.2782008253556578
SRX12668172	2.6	11368672	3679958	11368672	1613424812	275870	1608709221	0.29227212603446684
SRX12668173	2.6	12835973	3817153	12835973	1827961481	303533	1822656701	0.2902019574886217
SRX12668174	2.6	11293865	3236988	11293865	1600767763	266382	1596228904	0.28354262903781374
SRX12668175	2.6	10716569	3438392	10716569	1520813900	248585	1515987659	0.3173459290449673
SRX12668176	2.6	12824088	3706829	12824088	1836835897	311999	1831706226	0.27926670032842893
SRX12668177	2.6	10327431	3321138	10327431	1469632629	248637	1464991644	0.315792185640157
SRX12668178	2.6	10710019	3146199	10710019	1527177037	249464	1522801373	0.28651976123184725
SRX12668179	2.6	8219965	2667383	8219965	1158274604	262985	1154441496	0.33093257736660175
SRX12668180	2.6	9466533	3140206	9466533	1326913728	234094	1322326157	0.3457324242861402
SRX12668181	2.6	6469688	1910203	6469688	892928347	127361	890196801	0.30590875619272956
SRX12668182	2.6	6820838	2153108	6820838	921139978	156396	918100781	0.3299386708411867
SRX12668183	2.6	16150737	4616358	16150737	2268483406	353944	2262035961	0.28421830122040576
SRX12668184	2.6	12261444	4092929	12261444	1732271480	340973	1726478244	0.3344300282540009
SRX12668185	2.6	14477150	4544088	14477150	2051221074	385368	2044918125	0.30727789802338973
SRX12668186	2.6	7594365	2252710	7594365	1079101009	180761	1075937589	0.29315327977790817
SRX12668187	2.6	10336750	3219005	10336750	1441992551	267798	1437491790	0.31212096046396287
SRX12668188	2.6	9751291	2774993	9751291	1361759841	214517	1357823750	0.28904443217458636
SRX12668189	2.6	10133976	2757838	10133976	1389989159	211570	1386035474	0.2844399882114476
SRX12668190	2.6	5482949	1720307	5482949	731542770	105860	729114847	0.33189077926366495
SRX12668191	2.6	7496549	2365642	7496549	1047178914	153102	1043824883	0.3202920680658396
SRX12668192	2.6	8012552	2628580	8012552	1121074978	189660	1117434886	0.3246965699380724
SRX12668193	2.6	12361999	3937646	12361999	1744188867	295446	1738763485	0.31105473166628117
SRX12668194	2.6	13993894	4559316	13993894	1945355634	310535	1939002855	0.32656131809367667
