Geneid,SRX1643160,SRX1643581,SRX1643582,SRX1643625,SRX1643626,SRX1643627,SRX347145,SRX347146,SRX347147,SRX347148,SRX347149,SRX347150
SGL_RS00010,7.415464431289475,0.0,0.0,0.0,0.0,0.0,6.339585991827012,6.137742207305105,9.270456529453332,9.262232266462313,10.240450783372587,10.12316813769608
SGL_RS00015,0.0,0.0,0.0,0.0,7.289361082287726,8.596167025455179,5.196507634629475,5.115105174337121,5.950951401440068,6.312649539243103,6.897813145255727,6.5251223861402785
SGL_RS20055,0.0,0.0,0.0,0.0,0.0,0.0,5.428606138387411,5.60868690203192,5.977973652823436,6.0740066565454125,7.367543091515929,7.200325100562223
SGL_RS00020,4.3813217852808215,4.30982048954075,5.375085445997493,6.814305387864591,5.310085907198914,5.615315308895601,3.6335300714095062,4.744153863283479,4.377946236191759,4.529941603514734,5.9963075388147455,6.190492569637411
SGL_RS00025,0.0,0.0,0.0,0.0,0.0,0.0,1.5880407469707076,5.192198951004196,3.284015582554844,3.3587386519261253,6.166666056424657,6.112709402500585
SGL_RS00030,0.0,0.0,0.0,0.0,7.831888849878474,0.0,4.110043453963015,4.4826824666254526,5.896898273300209,5.9451106884541325,6.4654390509314394,6.6799040602686395
SGL_RS00035,0.0,0.0,0.0,0.0,0.0,0.0,2.5446628687152506,4.142525249572451,4.318721058481588,4.617586231222563,4.338638295980576,4.804297536481753
SGL_RS00040,0.0,8.22414610589926,7.112104600898157,0.0,0.0,0.0,6.831122801561555,6.675922711570713,9.019264143136603,8.92416494939783,9.206763171602011,9.436268666691436
SGL_RS00045,0.0,7.992329404351906,5.893453938279377,0.0,6.815204056411636,0.0,5.339415860942721,4.876391073698089,5.625049504216035,5.635168205675556,5.654060103091205,5.918152846414862
SGL_RS00050,0.0,0.0,0.0,0.0,8.152549988131192,0.0,4.320451020205107,5.0459734557265765,6.302995273913712,5.787015957214519,5.630444287703972,5.791583295182794
SGL_RS00055,4.821336972363216,0.0,5.201229064009335,0.0,0.0,0.0,2.478938514662566,3.227367298640541,6.40437672877288,6.255395288161964,5.718992374335661,6.03254811121508
SGL_RS00060,6.233163106722306,6.41865377815968,7.613329775306324,0.0,6.815204056411636,5.560595094764531,2.3975162855378715,1.633041485454733,4.423363127153051,4.8624030116317485,4.677451722797567,4.855541370873046
SGL_RS00065,7.529253046997388,7.233448068443646,8.111380082587653,0.0,6.061279821568245,7.942675640377219,1.1750045729750327,2.237499825659974,5.215994511859118,5.466381638968378,4.648620726205813,4.732553754546895
SGL_RS00070,8.48093439893032,9.573509905135682,7.875135702667041,0.0,7.8087841361836405,9.117261133234022,3.9947005633031525,3.2336807278087174,6.005177944043049,5.960816202075091,4.990068632313983,5.918152846414862
SGL_RS00075,4.266127421426221,0.0,4.6402598112486295,8.269821961424736,0.0,5.852093978014177,3.284294682753703,3.327474722792501,5.9964148443660275,6.0540518737903355,5.446382532054733,5.153343423707797
SGL_RS00080,0.0,7.819720884557703,6.709497496714911,0.0,7.636273690061867,7.9471869164239965,3.09952252300811,4.1516674385199375,6.134742475386642,6.416709086040472,7.021807819396561,6.909140539936154
SGL_RS00085,7.208377983098169,7.715233179089176,6.605567958117098,0.0,0.0,0.0,3.292786828647741,4.556327751214834,6.838887358414885,6.525764033475251,7.1839396296369955,6.960845870344298
SGL_RS00090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8703220585064684,2.8131189137779486,2.6601389514104756,4.834058137621556,5.157763077353372
SGL_RS00095,0.0,0.0,0.0,0.0,0.0,8.119856595653438,6.282461162586502,6.001123521498503,4.85277983777566,4.8257571117249505,6.74334743304666,6.200725314380289
SGL_RS00100,0.0,0.0,0.0,0.0,0.0,0.0,6.410714959121251,6.62698472722729,7.188289954108069,7.328187921038023,7.56331028844986,7.447599129246006
