Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
SRX11490741	9321772.0	7880830.0	84.54	1440942.0	15.46
SRX11490742	7656014.0	6221005.0	81.26	1435009.0	18.74
SRX11490743	7218556.0	5783866.0	80.12	1434690.0	19.88
SRX11490744	7876357.0	6342705.0	80.53	1533652.0	19.47
SRX11490745	9255201.0	7521547.0	81.27	1733654.0	18.73
SRX11490746	9449887.0	7952517.0	84.15	1497370.0	15.85
SRX11490747	8917492.0	7670539.0	86.02	1246953.0	13.98
SRX11490748	9007198.0	7200220.0	79.94	1806978.0	20.06
SRX11490749	7644471.0	6117287.0	80.02	1527184.0	19.98
SRX11490750	8704083.0	6967885.0	80.05	1736198.0	19.95
SRX11490751	8319401.0	6929887.0	83.3	1389514.0	16.7
SRX11490752	8713668.0	7275792.0	83.5	1437876.0	16.5
