Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRX11490741	2.6	10458331	4031515	10458331	708117372	4479094	636693908	10.086387769060408
SRX11490742	2.6	9758065	4738398	9758065	652808236	7364400	522205451	20.00630166681904
SRX11490743	2.6	8781926	3942866	8781926	578932814	5202112	482460442	16.66382862865327
SRX11490744	2.6	8991285	3593713	8991285	601715694	4066412	531000874	11.752198040558337
SRX11490745	2.6	10326673	3931049	10326673	684633872	4030034	616129248	10.00602319015849
SRX11490746	2.6	10139405	3648193	10139405	680526119	3368628	634670352	6.738281708773032
SRX11490747	2.6	10197480	4033791	10197480	695455771	4750715	613990758	11.713902795408682
SRX11490748	2.6	9943855	3808331	9943855	670641760	3827932	608959310	9.197525963787283
SRX11490749	2.6	9210187	4098390	9210187	609187227	5161906	512320964	15.90090184211955
SRX11490750	2.6	10273302	4400667	10273302	690210292	5308418	592007231	14.227991401785703
SRX11490751	2.6	9259044	3613634	9259044	614250146	3720766	554938163	9.655998193283295
SRX11490752	2.6	9444417	3474939	9444417	623934050	3223206	576546409	7.594975943370938
