Geneid,SRX368713,SRX368714,SRX368715,SRX368716,SRX368717,SRX368718,SRX368719,SRX368720,SRX368721,SRX368722,SRX368724,SRX368725,SRX9848492,SRX9848493,SRX9848502,SRX9848503,SRX9848504,SRX9848505
SGL_RS01880,7.370533135702499,3.9949859278921576,5.160831369674824,2.812522475708171,5.163420905977959,5.354048726694327,5.796465689376477,3.928006529701914,3.9749242591598652,4.4686250807828145,5.844018887484408,6.760315612059593,2.3756108187795606,1.9592872875360048,2.391862110278074,2.0402326393795613,2.0960010826869264,2.746660023176813
SGL_RS01885,7.156164378606765,7.213776961577011,7.482466490233997,5.26683023347221,7.986843750937527,7.606476448726619,7.615054987935663,6.925319810351022,6.630730591068413,6.471212015537193,7.081125264784537,7.990572809007824,5.37935189499286,4.990329488841926,4.966681777412069,5.371024250718794,5.430836046803413,5.758562156598782
SGL_RS01890,7.308497507813205,5.481682881134951,6.694708288587416,6.128868235267391,6.864574522357686,6.841930346356503,6.536914193688726,6.474148421999519,6.151221275133966,5.339158720674575,6.9627445574282945,7.9931293433786665,4.92558834891723,5.50091347338337,5.423293816153266,5.796995053103685,6.118250771881055,6.229139435441811
SGL_RS01895,9.548725709776303,8.464714341123663,10.632190582846897,4.523724406766098,9.072063817228207,8.450624050170996,10.007494905497799,9.64849127621968,7.679186396751145,8.404702754885825,9.714716022843438,9.430371594761848,7.108837591093749,7.37709561354619,7.134001926117228,7.762220699726514,7.934041469130582,7.817227197593756
SGL_RS01900,7.5643786466847525,4.958694815193049,7.315740221173291,4.449382665122784,6.926630939266825,7.5929865325227,7.244081344220399,6.378962876067095,6.3724987220772356,6.237090737191183,7.46049054283653,7.435677794110096,4.751701468054988,4.955141289329144,4.944198262705097,4.908169103529976,5.113447498608344,5.176184848141484
SGL_RS01905,7.197869105369692,4.088520805869439,7.03827874721674,2.93029272160861,7.270195060134254,7.963050008759207,6.6764463062665405,6.099095625487993,6.906441385081653,5.464500402128709,7.599422891962488,7.392053243813678,3.424436701569549,3.9098954604956258,3.842164740661413,4.305338218777061,4.094515577149849,4.144184506454258
SGL_RS01910,14.352648644139876,14.220974724616617,15.031284943718207,14.42313320987959,12.058704030116358,13.600297935850056,14.338415678491781,13.941289158188306,12.810744630866997,14.836624746059396,13.557782503067497,13.866420352196286,12.658020855393,12.789945281613495,12.642383683889285,12.681204353574575,12.56966453250015,12.603713502500826
SGL_RS19400,2.4021597442281246,0.0,0.0,0.0,1.2591354682961748,1.3312588223288293,3.094542365535033,1.5976577335258588,1.271146664807261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGL_RS01915,6.314253248938465,4.9851435591372395,6.154642237056435,2.749290153857216,5.952189842043574,5.731965868590102,6.543386734655345,6.095860980841206,6.183763889489862,5.7534894450443295,6.696816326051567,6.990439124070774,5.0750618414586075,4.9574723145445905,4.702717796365272,5.427932643108253,5.508988759433269,5.589678792035154
SGL_RS01920,4.031449622089962,3.4425484017689314,4.47259410219208,0.597015905183887,4.663039967200885,4.589929573532053,4.99797898580393,4.064208577170695,3.7938419244413284,2.924977370677372,4.8887774298233655,5.544982984580136,1.9453824385095455,1.803357895472788,1.8916900854628669,1.7358068234569959,2.014246455632868,2.0045603379756147
SGL_RS01925,5.4254489009868685,7.562502790277801,6.743403627446658,4.225172072299812,6.242303492786946,6.210926795407935,7.129069601137269,6.505179925992862,6.660865687287794,6.239113590089486,7.231218001316917,8.21743888571151,5.245212363939107,5.7232799921600535,5.705347856976315,5.93943402865197,5.918581673066918,6.068655922152025
SGL_RS01930,3.878238521332571,4.766557946786044,3.852450414090539,2.997913144836759,6.6030295186461645,4.719392415614188,4.681694399479597,3.708917610570497,5.607874194512801,3.791206497869697,4.806196327637787,4.791588185463166,0.6372481791828295,1.1867550659256616,1.2677642337944501,2.5733818876632646,2.247789780177072,2.6553169464810176
SGL_RS01935,3.4324826689383183,3.345198232918711,3.7301163443711136,3.145655958602498,6.584340444586212,4.6337993936017705,4.62660511351462,3.585092827025837,4.752129354837359,4.093128038577447,4.818754413464651,5.169284909438414,1.789218517301092,1.647399546310843,1.9783642457872912,3.2195084996527075,3.065320214680813,3.077485498318011
SGL_RS01940,4.01223034099602,4.057199415544731,4.368009419805276,1.8291983813565915,8.870399882092702,4.987274568780293,5.355861476770798,3.826157031731755,4.111848246088702,1.3180015813061152,5.650154756390148,5.539725108998096,0.0,1.4831079678870087,1.700668963548311,3.7156397565856816,4.100257914449167,4.105811328710493
SGL_RS01945,4.946675424997185,4.945377513128031,5.091902981177068,3.1056219182029947,6.4966558013443745,4.3862867518449224,5.477559423000196,4.490803033250061,4.290115166061924,4.3267327208955795,5.73007310132678,6.824889943557563,3.1956117467393352,4.220844970995554,4.012096927326845,5.215810716576589,5.1445736155962125,5.1035150517549255
SGL_RS01950,3.716369453494277,2.0272558263358254,2.906970370911836,1.5980516550276336,10.866089838378253,4.438009691476583,4.070806840815386,2.5022113116167146,4.745547606486053,3.1798131418771503,8.55518385091963,8.664532311161878,1.302229496396714,0.9891055863155166,0.9479790611952159,1.0040390169264044,1.3350477204456326,1.620868984756845
