Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRX368713	12942217	1133179	8254937	2933294	0	0	0	0	0	0	0	0	0	449418	170663	726	8.755679185413133
SRX368714	19847089	1103142	13640133	4383509	0	0	0	0	0	0	0	0	0	550412	169465	428	5.55820553835376
SRX368715	37392106	2080414	25392481	8433009	0	0	0	0	0	0	0	0	0	1114096	370757	1349	5.56377862215089
SRX368716	39960544	562314	30196688	7915869	0	0	0	0	0	0	0	0	0	1175389	110159	125	1.4071730354821996
SRX368717	27863266	3009385	15850292	5284684	0	0	0	0	0	0	0	0	0	2769665	946703	2537	10.800546497312984
SRX368718	30226797	2700904	17762591	6035253	0	0	0	0	0	0	0	0	0	2885751	839993	2305	8.93546213315291
SRX368719	17123833	1370375	11201002	3835463	0	0	0	0	0	0	0	0	0	532783	182938	1272	8.0027351352936
SRX368720	34734408	2331691	24208053	6879888	0	0	0	0	0	0	0	0	0	917087	396216	1473	6.7129141800833345
SRX368721	41376887	4899721	27800322	2003827	0	0	0	0	0	0	0	0	0	5180873	1487418	4726	11.841685915134214
SRX368722	17895842	571620	11951601	4870450	0	0	0	0	0	0	0	0	0	395202	106675	294	3.1941497918902058
SRX368724	33349796	1920447	24732869	5150147	0	0	0	0	0	0	0	0	0	1268682	276276	1375	5.758496993504847
SRX368725	31981731	419105	13493836	17670279	0	0	0	0	0	0	0	0	0	342403	55738	370	1.3104512698202608
SRX9848492	4923932	2337053	490	489435	0	0	0	0	1902	0	0	0	0	1912248	181347	1457	47.46314530744941
SRX9848493	9404120	5017434	515	807041	0	0	0	0	2233	0	0	0	0	3219864	354498	2535	53.353572689416985
SRX9848502	6827960	3728303	380	567987	0	0	0	0	2333	0	0	0	0	2275389	251380	2188	54.60346867878546
SRX9848503	6708961	3026651	211	727467	0	0	0	0	2170	0	0	0	0	2702964	247800	1698	45.11355782214265
SRX9848504	6538139	3328194	543	581499	0	0	0	0	3328	0	0	0	0	2352468	270029	2078	50.904301667492845
SRX9848505	6629385	3362463	264	611223	0	0	0	0	2735	0	0	0	0	2370611	279970	2119	50.7205872037904
