Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRX1643160	2.6	823593	234349	823593	157109833	18756385	138031960	12.143016535444984
SRX1643581	2.6	348924	102167	348924	76077870	6239524	69695028	8.389880000583611
SRX1643582	2.6	1183474	342649	1183474	257654580	20313378	236858158	8.071435019707392
SRX1643625	2.6	82403	23358	82403	15385006	2101843	13251952	13.864498980370888
SRX1643626	2.6	214860	61097	214860	39800725	5376956	34342027	13.71507177319006
SRX1643627	2.6	186988	54647	186988	40481415	4117573	36288411	10.35784939829796
SRX347145	2.6	8173488	6803260	8173488	1992736256	828068685	1014312627	49.099504565846566
SRX347146	2.6	6310727	1398030	6310727	1124638535	219387823	902812424	19.724213967112554
SRX347147	2.6	7497214	4985957	7497214	1853187270	656453854	1063233354	42.62677219879672
SRX347148	2.6	12120711	9467322	12120711	2976226499	677449843	1897357293	36.2495665690261
SRX347149	2.6	7754236	4644880	7754236	1901732998	790651274	1015780790	46.586571770681346
SRX347150	2.6	4670845	4117614	4670845	1145402171	292268163	655113606	42.804927161256444
