Geneid,ERX5015785,ERX5015786,ERX5015787,ERX5015788,ERX5015789,ERX5015790,ERX5015791,ERX5015792,ERX5015793,ERX5015794
SGL_RS00010,7.605903156363136,7.360367350339531,7.160646499810022,7.434490359931544,7.0729011168330835,6.06033048778893,6.681018599319858,7.045752981666967,6.627115572589781,6.790074759857106
SGL_RS00015,5.544458965296242,4.618172916959722,5.59953488559055,5.176971999901841,4.639162954443151,4.24912193917711,4.702233810049244,4.315756705773564,4.818513135709446,4.9568347024500525
SGL_RS20055,6.219226619924994,6.284409468004403,6.42270059747116,6.629934827271511,5.897032878366746,4.2212983682392435,5.4791252467788505,5.533052068123175,5.994348734908271,5.209273035132053
SGL_RS00020,4.071276009633332,3.9762038903372723,4.860640750039702,5.036006059398096,4.4030423017927545,4.125775372804164,4.488231649667968,4.522614153601781,4.032565762165085,4.21110802185654
SGL_RS00025,1.8799792476908026,0.0,0.0,0.0,0.0,2.55194635064158,3.859718205270087,1.829230520725456,1.6605552491423095,2.8250713793925555
SGL_RS00030,1.962753159209655,2.9775814967609318,2.1587535977208807,3.7356525458112895,4.261645424724614,4.662276422283886,4.5185491480420295,5.150007917432913,3.371073087364197,4.03151077145097
SGL_RS00035,2.08057451458831,0.0,3.3601682553802297,1.7174634480284516,2.5516415088277156,0.0,2.829299754737228,2.0273224569890034,1.8496287839796328,2.557960838198979
SGL_RS00040,6.405512546299903,5.824204108234975,5.180279845825613,4.483466759873114,4.712973417469604,5.040964026508399,4.719471366744763,4.08399776895378,5.466876181937623,5.0861252507496335
SGL_RS00045,4.9515860788715935,5.436068661022849,3.489282929873516,4.184002579840953,4.345020499623492,4.602070699471718,5.172005455340332,5.127459272359788,5.195339926555199,4.8608779379903355
SGL_RS00050,3.9532892316972026,4.743483930487496,4.658612753122583,3.1211401503865295,3.57396998137352,4.483058318629933,4.827833156995753,4.652744182214526,5.0500073949518,5.1954110908246385
SGL_RS00055,2.6413491516478063,4.047857037557973,4.076417744564841,4.243618679732123,3.287625103903217,3.6874352413003644,3.9364048144031982,4.270418112859687,3.3437532869946187,4.017895678933634
SGL_RS00060,2.6388409926060725,1.4285327131829364,3.7793266216021117,4.336088077508564,3.261210146550083,3.2340323541288876,3.230894868535992,3.674837809876787,3.350125079079502,2.6771304965847587
