Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRX2492746	2.6	21166775	7983802	21166775	1587508125	2586623	1572185834	0.9651787451481547
SRX2492747	2.6	23114903	8526578	23114903	1733617725	2774781	1717890541	0.9071886940934455
SRX2492748	2.6	20021383	7735577	20021383	1501603725	2489210	1486775659	0.9874819669883277
SRX2492749	2.6	22169239	8562909	22169239	1662692925	2607823	1646618862	0.9667487458635816
SRX2492750	2.6	19823928	7462777	19823928	1486794600	2355883	1473146747	0.9179380258712266
SRX2492751	2.6	20682221	7762511	20682221	1551166575	2365547	1536996181	0.9135314174752638
SRX2694285	2.6	2302652	756602	2302652	244742854	2213712	241688278	1.2480756639374648
SRX2694286	2.6	3219388	1031500	3219388	327034985	9269086	316596767	3.19177411554302
SRX2694287	2.6	1912613	567025	1912613	215489268	3197938	211631213	1.7903699037113998
SRX2694288	2.6	3013603	801100	3013603	240919100	25020807	214938504	10.783950297008413
