Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRX2492746	21148281	5853967	90976	1366635	0	0	0	0	0	0	0	0	0	13397649	436602	2452	27.68058075263895
SRX2492747	23102209	9296630	130047	1141013	0	0	0	0	0	0	0	0	0	11917883	613593	3043	40.24130333164244
SRX2492748	20002530	5940811	100188	643283	0	0	0	0	0	0	0	0	0	12874596	441152	2500	29.700297912314095
SRX2492749	22151311	6718668	100274	737915	0	0	0	0	0	0	0	0	0	14066752	524778	2924	30.33079170799417
SRX2492750	19812804	7733522	51341	603458	0	0	0	0	0	0	0	0	0	10851040	570353	3090	39.032950611130055
SRX2492751	20670793	7708319	87614	590022	0	0	0	0	0	0	0	0	0	11673948	607410	3480	37.290872198275125
SRX2694285	2286271	357861	571607	602179	0	0	0	0	0	0	0	0	0	722752	31764	108	15.65260636206294
SRX2694286	3033209	416910	692058	1044713	0	0	0	0	0	0	0	0	0	842393	37008	127	13.7448491020566
SRX2694287	1882551	347447	279369	790899	0	0	0	0	0	0	0	0	0	438633	26088	115	18.456179938817062
SRX2694288	2145377	314853	248604	1120308	0	0	0	0	0	0	0	0	0	439772	21728	112	14.675882140994334
