Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
SRX2492746	21148281.0	19781646.0	93.54	1366635.0	6.46
SRX2492747	23102209.0	21961196.0	95.06	1141013.0	4.94
SRX2492748	20002530.0	19359247.0	96.78	643283.0	3.22
SRX2492749	22151311.0	21413396.0	96.67	737915.0	3.33
SRX2492750	19812804.0	19209346.0	96.95	603458.0	3.05
SRX2492751	20670793.0	20080771.0	97.15	590022.0	2.85
SRX2694285	2286271.0	1684092.0	73.66	602179.0	26.34
SRX2694286	3033209.0	1988496.0	65.56	1044713.0	34.44
SRX2694287	1882551.0	1091652.0	57.99	790899.0	42.01
SRX2694288	2145377.0	1025069.0	47.78	1120308.0	52.22
