Geneid,SRX8102890,SRX8102891,SRX8102892,SRX8102893,SRX8102894,SRX8102895,SRX8102896,SRX8102897,SRX8102898,SRX8102899,SRX8102900,SRX8102901
SGL_RS00010,4.5960099328752655,4.539130278249076,4.877499074035535,4.557511431857573,4.582408780047801,4.513225288826247,4.755225988453432,4.874683825492994,4.631540012801536,4.75946672369933,4.828796625058245,4.73161733968738
SGL_RS00015,1.7111241573685776,0.9729466917856507,1.4214483090054841,2.2043285378349733,1.939551129981493,1.9197393697475882,3.0606790024187434,2.4612820958576376,2.384253797081139,2.215622178935397,2.6817074963863377,1.4924747149992013
SGL_RS20055,4.038958873306184,3.5213765893215996,4.639401528475431,4.983859976581067,4.4231903790875835,4.031607320330314,4.578211020796757,4.654429986621739,5.148270686617745,4.815911403566997,4.984698171208054,4.349580406783215
SGL_RS00020,2.915115741715807,2.8110157472612896,3.2428831575351746,3.280332050826233,2.947825856326296,2.8768473028414276,2.934229015509846,3.086654070911815,3.3700433424960545,3.3460376179975935,3.441815756638956,3.0237084422173974
SGL_RS00025,1.4884889857334618,1.5605987207447138,2.1030099565097924,2.55375612699144,2.3413284866900077,2.0897523625482526,1.7366869053992517,2.5844831167193676,2.089497469600817,1.2170763784227145,1.068168643609059,2.3866031704214365
SGL_RS00030,2.6930202240495302,3.046207499400251,3.601137360920299,3.407564138045004,3.109521364688184,3.6911533899380724,3.200996431481508,3.1489262459691156,2.2779840404367397,3.166586423132259,3.1221811417878453,3.6358004506495174
SGL_RS00035,1.762742934227189,1.0314300943969013,1.9921724551155822,1.4650983267850106,0.6567878517123387,3.531576586536124,3.498895973347165,2.915582156722306,0.31635497185555117,1.2437139322661945,1.3457623296137498,1.2270727306236178
SGL_RS00040,5.274231593001485,5.030496671722443,6.756510220675084,6.291618430273347,4.513107171367184,6.82553767201642,7.3145651717877715,6.408268858387354,6.267874298341725,5.689981880316283,5.93295545079757,6.501331739601978
SGL_RS00045,4.123207172446918,3.9560108017315527,5.7905041133979624,5.690963468552453,3.792305369202097,5.727087667154518,6.160241775064473,5.693290243268809,4.933137291893964,4.658797751504271,4.8386348499034195,5.454859832144346
SGL_RS00050,2.969624263878555,2.8375193016430127,4.624247345728156,4.664371881686766,2.3794812321889913,5.080586532735858,5.298393563104697,5.678494232353691,4.08321253031987,3.158344823336393,3.816812130724431,3.9762899347218785
SGL_RS00055,3.505043030028049,3.3367296852587165,3.450365078377186,5.070803032719582,3.7007466828662636,4.11440626178271,5.001196180387176,5.5678442901252785,2.495711094245062,3.26758097299678,3.3377081162041016,3.4216594878700453
SGL_RS00060,2.2173309962058685,2.497683539308775,1.9168307046840736,3.784886827083588,2.4134128077804955,3.3560039142072764,3.876092698955951,4.321559515625102,1.645614394692601,2.155802557885403,2.391154702307372,2.0556581249435086
