Geneid,SRX2492746,SRX2492747,SRX2492748,SRX2492749,SRX2492750,SRX2492751,SRX2694285,SRX2694286,SRX2694287,SRX2694288
SGL_RS04785,8.892390568177207,8.555225841510975,8.847779332551648,8.727349130526743,8.744780382799348,8.610323734517221,9.122032562309554,8.994755327128019,8.593986704745655,8.1571499979607
SGL_RS04790,5.866695217465173,5.945179370905608,5.841936827387731,5.986233683294519,6.177606724620718,6.226439071975221,5.529865276340837,5.237142168864851,5.960187989649278,5.285051458592212
SGL_RS04795,7.274724950638271,7.460892325151148,7.366502015538438,7.183890788120303,7.149907571430587,7.429917591641195,7.532274411528665,7.121312011461792,6.993183602479962,7.247631924105006
SGL_RS04800,5.064101129647617,5.064913810007487,4.7665597299690114,4.132055291697246,4.114870701336077,4.530103091690946,6.590719075069782,6.4951184972079945,4.4058477387152655,4.6546900600004655
SGL_RS04805,2.3538619030476493,3.045867858444822,3.189551727652208,2.407340006445037,3.2438535569768288,3.474967064921042,5.223522580740662,6.018367986697956,5.488406323400275,5.928446462191755
SGL_RS04810,5.842020767143871,5.874823010372251,5.70680826767106,5.981756106956244,6.016023274866194,6.096685881098109,5.663393052342834,4.856728795098783,7.554259423687936,7.4983104404410295
SGL_RS04815,3.5621926742369885,3.911825232392449,2.916721236033191,4.492658782797969,4.889477618069381,4.8554613305477545,5.325568662185426,4.210443789417804,5.08737213520101,4.749649173018753
SGL_RS04820,7.323057058722281,7.032033267677522,7.367490242668558,7.3524888772184145,7.546059717001731,7.351328807740523,7.710815702458595,7.888788257183526,8.569189767411908,8.377156447036397
SGL_RS04825,12.620127901392683,11.784035287603434,12.766006792981347,13.270843996747947,13.336370085711089,13.14165572590256,10.12266308917783,10.231996980180877,14.594164250630905,14.687252292510479
SGL_RS04830,1.820942281735272,1.8879782071264795,2.2922180897918945,1.4772119589238941,2.7170003306561794,2.3792162280683677,2.4228507870824845,1.5185297714346144,4.569127870877931,4.224950736263885
SGL_RS04840,6.2183301883564095,6.406593187101176,6.544083434966037,6.757997224406366,6.823354267657028,6.848880498811848,7.80274012359838,7.397479584045463,6.674083841902026,6.247241081250404
SGL_RS04845,3.396820002446156,3.497565247264248,3.9557553305583717,3.01284149890694,3.693019147147403,3.721571824998762,6.596383706479632,6.929241719196091,7.590503820696766,7.694680436110596
SGL_RS04850,7.400898058109482,7.78691379779591,7.574106110030796,7.460035617530672,7.8106933179890765,8.03364355228854,8.848091689692561,8.951719859898386,9.182607993842767,9.072042830612753
SGL_RS04855,2.465807125147554,2.868833197494755,2.618851827624379,2.512835636608207,3.0201448715822057,3.0530740085564725,3.9227894704796595,5.627935652017396,4.533064380499692,5.651553385187556
SGL_RS04860,6.5967307402348085,6.755500611761952,6.682549498879622,7.167608788263197,7.519483164977275,7.534893521726424,7.8579489129604285,7.773268865544538,7.160018967962479,7.215537519113645
SGL_RS04865,3.1343308641964653,3.196045100671182,3.6396685371261297,3.594143280387048,3.7678582120525452,3.701309207779329,5.016124414847487,4.519716445616602,5.510320585924892,4.778183940031728
SGL_RS04870,3.984131248776157,4.329604899631641,4.37226236898624,4.335834656431141,4.372037108688634,4.4278765785857885,5.268447438974404,5.244796388249299,5.991470858151483,5.611069109963837
SGL_RS04875,5.594526134643297,6.011356234490662,5.811170033863342,5.943183050703263,6.179327015426909,6.374636285959298,6.573968858060066,6.673835820289677,5.7629375702184085,5.249676200508945
SGL_RS04880,2.3728535308975824,2.474620484314647,1.9721649030106592,1.5883798083134895,2.9762260355252512,2.5812085932041597,2.915223267809657,2.721365664162589,3.8721208969218934,3.1019235752172114
SGL_RS04885,3.51604509957445,3.2590117733146924,3.555625253899654,3.4173608792544696,3.395764404605426,3.7565776076271935,5.182543307034982,4.126904117076094,4.9598891830968235,4.757740154644779
SGL_RS04890,2.1797258484223674,1.5272939969173067,2.020114474295243,1.165651683320763,2.2040604200919667,1.8970193675850555,0.0,0.0,0.0,0.0
SGL_RS04895,6.071554992555197,5.656366691704606,6.082567924750864,6.2176008360130295,6.158208222735123,6.19020699214679,6.610793085750664,6.423468084956838,6.295942554888995,6.625916635166911
SGL_RS04900,6.506670841070035,6.331868088364846,6.8760693161037185,6.6711765971070065,6.630265226221525,7.005297706243546,7.344760310093509,7.16890781943432,6.8237069433279185,6.8996263246488025
SGL_RS19435,1.451348673340167,0.6581282400196707,0.8751267382086728,0.8185038911907155,2.347774722667614,1.8785479699695522,5.517539127648136,5.296948059736533,4.050554161925035,4.194955309826348
SGL_RS04910,4.624618510745935,4.757064390191158,4.317565233122626,5.441401421468421,5.632908228473159,5.572696830920993,3.4405753132409753,3.697901283456847,2.145774421685288,2.2657497474529817
SGL_RS04915,4.062939732677641,4.58196628691613,4.6989859945649775,4.324374928205263,4.976530899479877,5.110107483693117,7.307170259526403,7.134256785907255,7.852245933487099,8.077910664974818
SGL_RS04920,2.747084498823644,2.99263126978109,3.100912332795765,2.9077632154725244,3.808223748031649,3.9908576165649046,5.743889180395677,5.2747920017812095,7.339268111524262,6.918449370648798
SGL_RS04925,6.255460195662681,5.824202956905916,5.994593957526117,6.606494837974309,5.999661677089599,6.313436689949677,4.912303937476552,6.038292452040288,5.225713578040494,5.781343502018554
SGL_RS04930,4.835646292199813,4.5994341352551675,4.575532212294055,4.8791227758365645,4.49838097638748,4.888821049284254,2.2348589727537718,2.6514577973570117,4.250583764494535,3.7962694403924657
SGL_RS04935,3.927951251761244,3.527385597266965,3.4928534701878653,3.2771194892289204,2.969161109809901,3.5063507250191313,0.0,3.659137005066777,3.924396676823884,4.067991149329862
SGL_RS04940,6.210262370614589,6.272239502370065,5.976940708991975,6.61069238919798,6.64594132396197,6.640276443252162,6.807185785925713,6.832577596823494,5.0899043192258056,6.219599046511433
SGL_RS04945,5.345890835921006,5.348135560933488,5.084117264297092,5.482398466020099,5.648971018335037,5.383930033773269,6.374673293172393,6.1516974669583835,4.110894154008919,5.666207816237993
SGL_RS04950,1.3598704335087077,2.046937380484516,2.8734846273528594,2.876660049047151,2.6821583406241674,2.7660876256570677,0.0,2.488939539320246,2.7279165537584302,0.0
SGL_RS04955,3.2471490754533168,3.27902662999859,3.4335262560772333,2.974502098349357,3.257792375701972,3.464143016190122,3.181294679832682,2.626663783992146,3.8750785882288277,3.5268589771197107
