Geneid,SRX11490741,SRX11490742,SRX11490743,SRX11490744,SRX11490745,SRX11490746,SRX11490747,SRX11490748,SRX11490749,SRX11490750,SRX11490751,SRX11490752
SGL_RS01880,5.036257147801179,4.82711201357786,5.1994048515437825,5.19685849074382,5.251510068041245,5.47299175407497,4.559242094258438,4.667377004030392,4.547496409265135,5.5798614104814686,5.71127875278511,5.814889413077649
SGL_RS01885,6.805145818505981,6.083983752141368,6.331133876436244,6.345876965800811,6.222676551595367,6.4534406798540145,6.56371128247492,6.157262146063762,6.510455081990405,6.680013456491532,6.529695265973557,6.4820882568388996
SGL_RS01890,7.4357177058037855,7.588391037182933,7.896680414957079,7.8380659204148655,7.810299343784721,7.8742456546897674,7.235076547564879,7.354817339035462,7.438515578240536,8.202001820864451,8.232330092932731,8.485321449114545
SGL_RS01895,9.921397500284673,9.247951047238107,9.465746538665366,9.453305740038337,9.685287949106092,9.875850909791291,8.91963226041044,8.970548263448272,9.081493038419282,8.301667821168728,8.369179228194907,8.405378474153776
SGL_RS01900,7.536394912982003,7.384353557350791,7.4088388520561175,7.030055010394897,7.009135992215454,7.3583226688062355,6.277314759820901,6.383831583814747,6.29097177611467,6.153589744686291,6.002389474661895,6.241222810996988
SGL_RS01905,8.17594521450976,7.787641809385204,8.095585788933583,7.658450089496494,7.742844674244156,7.948121441217729,5.862564936498457,6.430429132332958,6.428614421239978,6.715807528582167,6.524720783738083,6.754450063414643
SGL_RS01910,15.204542910534887,15.209587517398642,14.935747187555213,15.138889998072834,15.479680702871272,15.55897579328205,15.446316302739529,14.82807173637369,14.727100883125198,14.223341132695015,14.80877861998193,14.265622206876628
SGL_RS19400,9.78472828952215,9.5362049900581,9.475140730647558,9.272870857172212,9.820945154827943,10.19000389505928,10.219744001355636,9.22313790115432,9.37198104668662,8.962217222561517,9.500108091903583,9.096180321185212
SGL_RS01915,6.4122836623538255,6.282954277061019,6.5942868340599645,6.457383387836669,6.418095370669134,6.3944909664987915,5.989127241401773,6.296133570646159,6.291477465254112,6.148705921570191,6.187892216466646,6.384008337262453
SGL_RS01920,4.900643728098746,4.861698615255418,4.992436978713235,5.2750277196076265,5.135977116850414,5.172031207072025,4.209932254160189,4.65857963483508,4.722010323062651,4.654847409971271,4.56134778572599,4.825084142704271
SGL_RS01925,6.025488961080172,6.666477401400098,6.660125047366439,6.875664794791608,6.633184756303696,6.887397439935368,7.799795085155685,7.482788582456741,7.329086528196564,8.306415418062072,7.940260946520176,8.010682434310414
SGL_RS01930,3.9124128036203927,3.891450552034401,4.0135285729510075,4.131766923403154,4.302472332539114,4.252109199223067,4.904244697953442,4.689763904278183,4.6697409815615325,4.65056552953043,4.880993988131504,4.668566799277562
SGL_RS01935,4.538616291304416,4.735799048659925,4.519189893645862,4.626043275419132,4.941390544223475,4.84436328590479,5.440691573626948,5.314726141059534,5.384595049134946,5.881197962590848,6.029589601663575,5.942817231914563
SGL_RS01940,3.682399460185172,3.479650840776077,3.8108586606632526,3.943566933608527,3.9747331029210295,3.5338762159178008,4.285964624343158,4.4930012186524015,4.214711428735441,4.37181233945098,4.25141095826779,4.3920428507040885
SGL_RS01945,5.224641818341835,5.192480047319019,5.384851705319971,5.238003103090811,5.2219959898182635,5.19474278990639,5.913634117019632,5.737934391546826,5.975269408611626,5.537834964637248,5.6284643628747295,5.801916218479151
SGL_RS01950,4.362108199002201,4.25952753932995,4.65978834530938,4.684234125390366,4.872417948062809,4.669198208664797,4.407612071487326,4.432246764986397,4.3981789483638565,4.912263968864383,5.112570531047411,5.4186886209872736
SGL_RS01955,3.006025283053913,3.462682519876342,3.5150569507190377,3.509114197099719,3.4935843752379867,3.391891344313224,3.501053383733005,3.4870073867831395,3.68373072311629,3.5028458635278232,3.423055839254259,3.4625496406240672
