Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed
SRX12668181	6469086	337794	452589	5573724	0	0	0	0	75	0	0	0	0	73765	30806	333	5.221665008008859	6469086.0	895362.0	13.84	5573724.0	86.16	SRX12668181_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6469086.0	0.0	20-150	44.0	7.26185985327912	137.29676294301854	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	2.6	6469688	1910203	6469688	892928347	127361	890196801	0.3059087561927295	0.0389	0.2197	0.7415
SRX12668182	6819884	89723	288247	6404845	0	0	0	0	23	0	0	0	0	27988	8969	89	1.3156088871892837	6819884.0	415039.0	6.09	6404845.0	93.91	SRX12668182_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6819884.0	0.0	20-150	44.0	3.845782642431538	135.0811392099924	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	2.6	6820838	2153108	6820838	921139978	156396	918100781	0.3299386708411867	0.0296	0.1261	0.8443
SRX12668183	16149057	3070010	3450575	8715516	0	0	0	0	589	0	0	0	0	605742	304496	2129	19.010459867718595	16149057.0	7433541.0	46.03	8715516.0	53.97	SRX12668183_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16149057.0	0.0	20-150	46.0	9.282573529526196	139.18167172237983	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	2.6	16150737	4616358	16150737	2268483406	353944	2262035961	0.2842183012204057	0.0388	0.2382	0.7229
SRX12668184	12259954	338890	4323493	7499117	0	0	0	0	293	0	0	0	0	65831	32114	216	2.764202867319078	12259954.0	4760837.0	38.83	7499117.0	61.17	SRX12668184_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12259954.0	0.0	20-150	47.0	4.317989020787613	141.39415147887178	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	12261444	4092929	12261444	1732271480	340973	1726478244	0.3344300282540009	0.0062	0.0398	0.954
SRX12668185	14475807	195114	810212	13421481	0	0	0	0	59	0	0	0	0	31638	17172	131	1.3478626787439207	14475807.0	1054326.0	7.28	13421481.0	92.72	SRX12668185_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14475807.0	0.0	20-150	45.0	2.916720188021573	141.61086839579997	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	2.6	14477150	4544088	14477150	2051221074	385368	2044918125	0.3072778980233897	0.0145	0.1068	0.8787
SRX12668186	7593472	158581	485562	6900162	0	0	0	0	20	0	0	0	0	33069	15938	140	2.088385918852404	7593472.0	693310.0	9.13	6900162.0	90.87	SRX12668186_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7593472.0	0.0	20-150	45.0	4.604221052845412	140.62835367009978	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	2.6	7594365	2252710	7594365	1079101009	180761	1075937589	0.2931532797779081	0.0208	0.1289	0.8503
SRX12668187	10335717	165060	622872	9494494	0	0	0	0	35	0	0	0	0	37791	15314	151	1.5969864499966475	10335717.0	841223.0	8.14	9494494.0	91.86	SRX12668187_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10335717.0	0.0	20-150	44.0	3.996102075017444	138.75604053400457	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	2.6	10336750	3219005	10336750	1441992551	267798	1437491790	0.3121209604639628	0.0191	0.1128	0.8681
SRX12668188	9750209	1226825	1256068	6907712	0	0	0	0	201	0	0	0	0	245456	113039	908	12.5825507945522	9750209.0	2842497.0	29.15	6907712.0	70.85	SRX12668188_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9750209.0	0.0	20-150	46.0	9.93628031296604	138.9384323966799	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	9751291	2774993	9751291	1361759841	214517	1357823750	0.2890444321745863	0.0413	0.2501	0.7087
SRX12668189	10132821	2173092	1757586	5551683	0	0	0	0	380	0	0	0	0	446255	202213	1612	21.44607113853092	10132821.0	4581138.0	45.21	5551683.0	54.79	SRX12668189_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10132821.0	0.0	20-150	47.0	13.915937992494646	136.495360472666	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	10133976	2757838	10133976	1389989159	211570	1386035474	0.2844399882114476	0.0464	0.2719	0.6817
SRX12668190	5482204	103604	661037	4680146	0	0	0	0	22	0	0	0	0	26145	11149	101	1.8898238737558837	5482204.0	802058.0	14.63	4680146.0	85.37	SRX12668190_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5482204.0	0.0	20-150	44.0	4.664575841874517	133.4744568060583	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	5482949	1720307	5482949	731542770	105860	729114847	0.3318907792636649	0.0133	0.075	0.9117
SRX12668191	7495736	64183	171538	7234721	0	0	0	0	19	0	0	0	0	17708	7468	99	0.8562601457682074	7495736.0	261015.0	3.48	7234721.0	96.52	SRX12668191_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7495736.0	0.0	20-150	42.0	3.3162414845022665	138.91218634167478	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	2.6	7496549	2365642	7496549	1047178914	153102	1043824883	0.3202920680658396	0.0299	0.1449	0.8252
SRX12668192	8011502	364933	1427965	6121814	0	0	0	0	75	0	0	0	0	63161	33323	231	4.555113385729667	8011502.0	1889688.0	23.59	6121814.0	76.41	SRX12668192_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8011502.0	0.0	20-150	46.0	5.936051800766667	139.14031563619406	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	2.6	8012552	2628580	8012552	1121074978	189660	1117434886	0.3246965699380724	0.0149	0.1124	0.8727
SRX12668193	12360799	442782	1684554	10108794	0	0	0	0	148	0	0	0	0	85087	39075	359	3.5821470764147203	12360799.0	2252005.0	18.22	10108794.0	81.78	SRX12668193_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12360799.0	0.0	20-150	46.0	4.809699563192496	140.31719146958056	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	2.6	12361999	3937646	12361999	1744188867	295446	1738763485	0.3110547316662811	0.0176	0.1096	0.8728
SRX12668194	13992039	2053076	2880885	8490677	0	0	0	0	524	0	0	0	0	384265	181222	1390	14.673172366086174	13992039.0	5501362.0	39.32	8490677.0	60.68	SRX12668194_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13992039.0	0.0	20-150	47.0	9.392443031306	139.1232047023311	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	2.6	13993894	4559316	13993894	1945355634	310535	1939002855	0.3265613180936766	0.0304	0.2147	0.755
SRX12668195	10773371	859810	3401811	6272472	0	0	0	0	266	0	0	0	0	159790	78714	508	7.980881750011208	10773371.0	4500899.0	41.78	6272472.0	58.22	SRX12668195_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10773371.0	0.0	20-150	47.0	7.501041267281115	138.55242309951083	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	2.6	10774703	2963905	10774703	1500394986	233701	1496178577	0.2810199340402221	0.0167	0.1099	0.8735
SRX12668196	11026111	829614	1828054	8162070	0	0	0	0	435	0	0	0	0	138908	66480	550	7.524085328000053	11026111.0	2864041.0	25.98	8162070.0	74.02	SRX12668196_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11026111.0	0.0	20-150	47.0	6.856106376941315	140.12370263640554	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	11027724	3108775	11027724	1563909376	276180	1559526600	0.2802448829362348	0.0228	0.1648	0.8124
SRX12668197	11186510	859609	2068511	7999520	0	0	0	0	191	0	0	0	0	178934	79088	657	7.684335865251987	11186510.0	3186990.0	28.49	7999520.0	71.51	SRX12668197_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11186510.0	0.0	20-150	45.0	6.606822852402871	134.0017474618983	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	11187682	3094989	11187682	1515366225	211974	1510856254	0.2976159112956342	0.0261	0.156	0.8179
SRX12668198	9988043	1181596	1495541	6915127	0	0	0	0	315	0	0	0	0	279849	114603	1012	11.830105256855624	9988043.0	3072916.0	30.77	6915127.0	69.23	SRX12668198_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9988043.0	0.0	20-150	45.0	8.66559568607865	131.34936273301986	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	9989422	2636539	9989422	1326361015	183059	1322462678	0.2939122121287619	0.0416	0.2279	0.7305
SRX12668199	9486145	401359	722870	8221900	0	0	0	0	101	0	0	0	0	99369	40180	366	4.231002161573537	9486145.0	1264245.0	13.33	8221900.0	86.67	SRX12668199_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9486145.0	0.0	20-150	44.0	5.8785499712347455	133.52644103584754	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	9487321	2936583	9487321	1264842520	185077	1260710890	0.3266517321065392	0.037	0.1888	0.7742
SRX12668200	10593061	1111035	1930728	7248926	0	0	0	0	213	0	0	0	0	203641	97696	822	10.48832816123687	10593061.0	3344135.0	31.57	7248926.0	68.43	SRX12668200_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10593061.0	0.0	20-150	47.0	8.785768659425502	139.84741964574735	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	2.6	10594567	2976358	10594567	1489274739	247843	1485078806	0.2817433808631867	0.0283	0.1906	0.7811
SRX12668201	14415541	910867	1171660	12083773	0	0	0	0	129	0	0	0	0	170900	77520	692	6.318645966876997	14415541.0	2331768.0	16.18	12083773.0	83.82	SRX12668201_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14415541.0	0.0	20-150	45.0	6.277815354672289	140.54903836075246	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	14417286	4323786	14417286	2037481579	328853	2031447026	0.2961770580994293	0.0353	0.222	0.7427
SRX12668203	13401609	1806462	1691622	9425378	0	0	0	0	409	0	0	0	0	316110	160457	1171	13.479441162624578	13401609.0	3976231.0	29.67	9425378.0	70.33	SRX12668203_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13401609.0	0.0	20-150	46.0	8.7522895371062	139.94236699488846	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	13403087	4967322	13403087	1886164879	370015	1879929646	0.330577303682262	0.0381	0.2606	0.7013
SRX12668204	16133427	3703126	3781441	7588671	0	0	0	0	920	0	0	0	0	718598	338220	2451	22.953127069654823	16133427.0	8544756.0	52.96	7588671.0	47.04	SRX12668204_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16133427.0	0.0	20-150	47.0	9.80148076992556	137.38923534348902	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	16135627	4413464	16135627	2246307973	368864	2240012835	0.2802437633515001	0.0415	0.2452	0.7133
SRX12668205	9986189	940773	2961243	5806530	0	0	0	0	228	0	0	0	0	185411	91365	639	9.4207409853749	9986189.0	4179659.0	41.85	5806530.0	58.15	SRX12668205_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9986189.0	0.0	20-150	47.0	7.749871315477532	137.30048479955667	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	9987400	3300858	9987400	1378969596	234026	1374196577	0.3461293863073686	0.0197	0.1308	0.8495
SRX12668206	12610427	1201382	2380630	8674471	0	0	0	0	301	0	0	0	0	245364	107401	878	9.526893895028298	12610427.0	3935956.0	31.21	8674471.0	68.79	SRX12668206_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12610427.0	0.0	20-150	46.0	7.787849497755235	137.20738544380774	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	12611848	3951821	12611848	1739659859	312994	1734083333	0.3205526627030141	0.029	0.1749	0.7961
SRX12668207	11241178	3227758	2385585	4753632	0	0	0	0	625	0	0	0	0	583638	287959	1981	28.713698866791365	11241178.0	6487546.0	57.71	4753632.0	42.29	SRX12668207_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11241178.0	0.0	20-150	47.0	13.02175630388496	137.05385859026518	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	11242527	2999642	11242527	1556639452	248060	1552384689	0.2733300247872685	0.0422	0.2915	0.6663
SRX12668208	14504883	2200241	2036246	9573634	0	0	0	0	352	0	0	0	0	478666	214051	1693	15.168967581468944	14504883.0	4931249.0	34.0	9573634.0	66.0	SRX12668208_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14504883.0	0.0	20-150	45.0	10.097393619395952	137.20035956167314	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	2.6	14506471	4578298	14506471	1990590035	359258	1984111032	0.3254815349258995	0.0458	0.2675	0.6867
SRX12668209	11505807	2151289	2045346	6728178	0	0	0	0	482	0	0	0	0	399245	179939	1328	18.697419485656244	11505807.0	4777629.0	41.52	6728178.0	58.48	SRX12668209_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11505807.0	0.0	20-150	47.0	11.054245990918169	138.91209656132767	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	2.6	11507266	3187075	11507266	1606643910	262839	1602109632	0.2822204703716831	0.039	0.262	0.699
SRX12668210	17578710	2731974	1656187	12527579	0	0	0	0	517	0	0	0	0	450710	210050	1693	15.541379316229689	17578710.0	5051131.0	28.73	12527579.0	71.27	SRX12668210_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17578710.0	0.0	20-150	46.0	8.458603620799678	140.38091486804208	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	17580775	5502420	17580775	2481553113	512235	2473959504	0.306002275761083	0.0422	0.3128	0.6449
