Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed
SRX12668221	9016881	750728	1025312	7043519	0	0	0	0	122	0	0	0	0	133482	63221	497	8.325805785836588	9016881.0	1973362.0	21.89	7043519.0	78.11	SRX12668221_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9016881.0	0.0	20-150	46.0	6.425938678251478	139.33291434144468	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	9017928	2606084	9017928	1263115658	221259	1259363767	0.297034636237563	0.0315	0.2215	0.747
SRX12668222	13429405	2550231	1756312	8458209	0	0	0	0	575	0	0	0	0	440648	221818	1612	18.98990312675804	13429405.0	4971196.0	37.02	8458209.0	62.98	SRX12668222_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13429405.0	0.0	20-150	46.0	10.615977142186397	139.00117853322615	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	13430668	4198487	13430668	1870766057	301514	1864889310	0.314135857768559	0.0412	0.299	0.6598
SRX12668223	11754779	2357609	1551997	7226403	0	0	0	0	582	0	0	0	0	413490	203162	1536	20.05659995819573	11754779.0	4528376.0	38.52	7226403.0	61.48	SRX12668223_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11754779.0	0.0	20-150	46.0	10.484306685115603	137.28590320583655	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	11756300	3269713	11756300	1629424863	275210	1624762347	0.2861448911130307	0.0418	0.3053	0.6528
SRX12668224	9344484	145732	200667	8960483	0	0	0	0	35	0	0	0	0	25194	12291	82	1.5595510677743147	9344484.0	384001.0	4.11	8960483.0	95.89	SRX12668224_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9344484.0	0.0	20-150	43.0	3.6348306834172974	139.54867502582272	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	9345475	2926512	9345475	1311208872	221359	1307189695	0.3065245427961076	0.0305	0.2206	0.7489
SRX12668225	9345575	946770	609462	7551732	0	0	0	0	227	0	0	0	0	160227	76570	587	10.130676817638294	9345575.0	1793843.0	19.19	7551732.0	80.81	SRX12668225_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9345575.0	0.0	20-150	46.0	8.370411956161574	140.5111354839055	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	9346955	3004973	9346955	1313882159	235069	1309763726	0.3134552799723343	0.0419	0.3063	0.6518
SRX12668226	6156038	1178110	692091	4006666	0	0	0	0	309	0	0	0	0	191708	86471	683	19.137471211191357	6156038.0	2149372.0	34.91	4006666.0	65.09	SRX12668226_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6156038.0	0.0	20-150	47.0	16.584845272045232	141.07255624477952	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	6156555	1806632	6156555	873223361	150989	870709680	0.2878623170504024	0.0415	0.3162	0.6423
SRX12668227	10612090	2400973	2194623	5403673	0	0	0	0	755	0	0	0	0	406738	203706	1622	22.624883505511168	10612090.0	5208417.0	49.08	5403673.0	50.92	SRX12668227_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10612090.0	0.0	20-150	47.0	13.813028411820202	141.50190933171504	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	10613495	3006039	10613495	1509773310	295196	1505567908	0.2785452605464326	0.0378	0.2677	0.6946
SRX12668228	11578492	1686424	1305886	8132378	0	0	0	0	552	0	0	0	0	315173	137099	980	14.56514371647016	11578492.0	3446114.0	29.76	8132378.0	70.24	SRX12668228_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11578492.0	0.0	20-150	46.0	10.021909165968546	141.2279732110192	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	11579776	3651862	11579776	1636721742	301948	1631687179	0.3076004228946083	0.0443	0.2815	0.6742
SRX12668229	10969088	1041084	1011149	8574165	0	0	0	0	188	0	0	0	0	249945	91695	862	9.491071636949217	10969088.0	2394923.0	21.83	8574165.0	78.17	SRX12668229_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10969088.0	0.0	20-150	45.0	8.69233449901281	139.42672462833738	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	10970596	3160433	10970596	1537552316	279848	1533038369	0.2935800592296724	0.0507	0.2526	0.6968
SRX12668230	9208484	165734	206052	8771461	0	0	0	0	36	0	0	0	0	50275	14796	130	1.799796796085002	9208484.0	437023.0	4.75	8771461.0	95.25	SRX12668230_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9208484.0	0.0	20-150	44.0	4.269650149302303	138.8374491392937	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	2.6	9209469	2866353	9209469	1280824139	209202	1276858683	0.3096019101495088	0.0522	0.2213	0.7265
SRX12668231	14701330	1932498	4409821	7839103	0	0	0	0	339	0	0	0	0	338355	179830	1384	13.145055583406398	14701330.0	6862227.0	46.68	7839103.0	53.32	SRX12668231_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14701330.0	0.0	20-150	47.0	10.38599933150774	140.57795063439838	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	14702996	4121683	14702996	2077534968	362793	2071759299	0.2780058621858056	0.023	0.161	0.8161
SRX12668232	9892187	602462	1880026	7247836	0	0	0	0	122	0	0	0	0	103250	58091	400	6.090281148142469	9892187.0	2644351.0	26.73	7247836.0	73.27	SRX12668232_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9892187.0	0.0	20-150	45.0	7.787176025579059	139.71078781668805	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	9893458	3201936	9893458	1389894608	235004	1385428047	0.3213596897413102	0.0178	0.1306	0.8516
SRX12668233	12236174	991855	5384719	5630061	0	0	0	0	469	0	0	0	0	142552	85992	526	8.105924286464052	12236174.0	6606113.0	53.99	5630061.0	46.01	SRX12668233_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12236174.0	0.0	20-150	49.0	8.672635757712616	141.53287367440183	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	12237636	4144653	12237636	1733103427	292162	1727307366	0.3344324931624522	0.0103	0.0844	0.9053
SRX12668234	12335503	1935097	1815101	8070825	0	0	0	0	660	0	0	0	0	335665	177125	1030	15.687215997596532	12335503.0	4264678.0	34.57	8070825.0	65.43	SRX12668234_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12335503.0	0.0	20-150	46.0	8.69531964599626	139.76023742201676	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	12336621	3644947	12336621	1739381928	301222	1734201715	0.2978191802852857	0.0403	0.2589	0.7008
SRX12668235	11517690	2102467	3065894	5846071	0	0	0	0	693	0	0	0	0	321264	179943	1358	18.254241953030512	11517690.0	5671619.0	49.24	5846071.0	50.76	SRX12668235_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11517690.0	0.0	20-150	48.0	11.772463728189251	139.87203831671107	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	11519130	3195913	11519130	1626454552	301910	1621977013	0.2752944430260354	0.0271	0.2151	0.7579
SRX12668236	11612673	1432866	2255253	7585168	0	0	0	0	466	0	0	0	0	223988	114067	865	12.338812950300072	11612673.0	4027505.0	34.68	7585168.0	65.32	SRX12668236_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11612673.0	0.0	20-150	47.0	10.745233924066442	140.68981120884055	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	11613985	3709524	11613985	1633068888	351756	1627835305	0.3204753356369128	0.0254	0.2039	0.7708
SRX12668237	9772016	1988957	1489292	5788811	0	0	0	0	424	0	0	0	0	339097	164142	1293	20.35359950290708	9772016.0	3983205.0	40.76	5788811.0	59.24	SRX12668237_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9772016.0	0.0	20-150	47.0	16.245639422523855	138.9054910470879	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	9773527	2708847	9773527	1364473920	255982	1360613405	0.2829306550615493	0.0399	0.2918	0.6684
SRX12668238	8905739	716729	773071	7230555	0	0	0	0	193	0	0	0	0	127462	57239	490	8.047945263161205	8905739.0	1675184.0	18.81	7230555.0	81.19	SRX12668238_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8905739.0	0.0	20-150	45.0	8.821713571423748	138.0273020576956	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	8906745	2630348	8906745	1241278534	215658	1237509219	0.303663915612352	0.0351	0.2506	0.7143
SRX12668239	10081783	2226666	1771227	5473479	0	0	0	0	582	0	0	0	0	416225	192105	1499	22.08603378985642	10081783.0	4608304.0	45.71	5473479.0	54.29	SRX12668239_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10081783.0	0.0	20-150	47.0	14.213786116330434	136.79941831717665	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	10083060	2763302	10083060	1392512688	245854	1388554713	0.2842325986763289	0.043	0.2837	0.6733
SRX12668240	12331921	1301636	1036371	9600352	0	0	0	0	318	0	0	0	0	276410	115846	988	10.555014097154857	12331921.0	2731569.0	22.15	9600352.0	77.85	SRX12668240_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12331921.0	0.0	20-150	44.0	8.327861793981487	137.3339721362146	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	12333374	3631710	12333374	1709375709	291532	1704176178	0.3041771901065431	0.048	0.2792	0.6728
SRX12668241	11027309	955118	987511	8797323	0	0	0	0	195	0	0	0	0	207275	79224	663	8.661387832697896	11027309.0	2229986.0	20.22	8797323.0	79.78	SRX12668241_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11027309.0	0.0	20-150	45.0	8.245116453348187	139.7645229674801	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	11028781	3571311	11028781	1543595045	268667	1538662767	0.3195318627107927	0.0433	0.247	0.7098
SRX12668242	6460376	838712	991803	4294494	0	0	0	0	315	0	0	0	0	245837	88469	746	12.982402262654682	6460376.0	2165882.0	33.53	4294494.0	66.47	SRX12668242_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6460376.0	0.0	20-150	44.0	11.28238743294575	131.09080059736462	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	6461066	2000605	6461066	851302122	136250	848361150	0.345467481402566	0.0527	0.2322	0.7151
