Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed
SRX13465635	11604363	120137	11300282	21037	0	0	0	0	0	0	0	0	0	155203	7650	54	1.035274404980265	11604363.0	11583326.0	99.82	21037.0	0.18	SRX13465635_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11604363.0	0.0	20-51	52.0	2.9731791816280264	50.620752728952034	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	11637127	588744	11637127	589518192	1443117	587421927	0.3555895353946939	0.0041	0.0836	0.9123
SRX13465636	15019790	213354	14568378	32677	0	0	0	0	0	0	0	0	0	195630	9645	106	1.420485905595218	15019790.0	14987113.0	99.78	32677.0	0.22	SRX13465636_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15019790.0	0.0	20-51	53.0	2.5864225898037705	50.627913572693096	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	2.6	15096502	734158	15096502	764198389	2973813	760420992	0.4942953367047729	0.0035	0.077	0.9195
SRX13465637	12573396	181195	12177179	48994	0	0	0	0	0	0	0	0	0	158032	7914	82	1.4410983317474453	12573396.0	12524402.0	99.61	48994.0	0.39	SRX13465637_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12573396.0	0.0	20-51	53.0	3.5067578353668285	50.60563566120084	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	12614555	656407	12614555	638797629	1782281	636285086	0.3933237829847988	0.0035	0.0937	0.9028
SRX13465638	44888479	583351	43671595	86817	0	0	0	0	0	0	0	0	0	520934	25558	224	1.2995561734225836	44888479.0	44801662.0	99.81	86817.0	0.19	SRX13465638_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44888479.0	0.0	20-51	52.0	1.4822677682659435	50.61278111027108	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	45110741	2269771	45110741	2283360861	8914817	2271932155	0.5005212358328148	0.0033	0.081	0.9157
SRX13465639	15418452	213529	14952287	77971	0	0	0	0	0	0	0	0	0	162310	12279	76	1.3848925949245747	15418452.0	15340481.0	99.49	77971.0	0.51	SRX13465639_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15418452.0	0.0	20-51	52.0	2.594991685898337	50.62440794964371	pass	pass	fail	pass	fail	warn	warn	warn	fail	fail	pass	2.6	15554291	797221	15554291	786488042	5054598	780550461	0.7549486683740323	0.003	0.07	0.927
SRX13465640	11470196	126741	11189045	20020	0	0	0	0	0	0	0	0	0	124215	10139	36	1.1049593224039067	11470196.0	11450176.0	99.83	20020.0	0.17	SRX13465640_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11470196.0	0.0	20-51	52.0	2.872471039220808	50.60401260797985	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	11722925	594769	11722925	590255193	9153261	580438424	1.663139793841678	0.003	0.078	0.919
SRX13465641	30781040	346354	29987761	59689	0	0	0	0	0	0	0	0	0	366134	20974	128	1.1252186410855514	30781040.0	30721351.0	99.81	59689.0	0.19	SRX13465641_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30781040.0	0.0	20-51	52.0	1.5777765766403602	50.622907835472745	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	30866032	1551806	30866032	1563711107	3749389	1558226837	0.3507214328432854	0.0032	0.0751	0.9217
SRX13465642	11985008	128380	11696167	21542	0	0	0	0	0	0	0	0	0	131085	7751	83	1.0711715836985674	11985008.0	11963466.0	99.82	21542.0	0.18	SRX13465642_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11985008.0	0.0	20-51	53.0	2.805167463522331	50.61457330691811	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	2.6	12061631	610700	12061631	610235118	2943580	606616405	0.5930030726288027	0.0038	0.0729	0.9233
SRX13465643	11433054	114313	11170538	19729	0	0	0	0	0	0	0	0	0	122216	6204	54	0.9998465851731304	11433054.0	11413325.0	99.83	19729.0	0.17	SRX13465643_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11433054.0	0.0	20-51	53.0	2.908040218879776	50.613499332724224	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	11471336	576433	11471336	580927835	1622727	578667235	0.3891361136103936	0.0032	0.0834	0.9134
SRX13465644	13911430	146584	13589406	30651	0	0	0	0	0	0	0	0	0	136832	7902	55	1.0536946956567368	13911430.0	13880779.0	99.78	30651.0	0.22	SRX13465644_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13911430.0	0.0	20-51	53.0	2.194771151384878	50.64714677067706	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	2.6	13975496	634670	13975496	707755256	2477643	704574586	0.4494025262314689	0.0026	0.0715	0.9259
