Geneid,SRX13465624,SRX13465625,SRX13465626,SRX13465627,SRX13465628,SRX13465629,SRX13465630,SRX13465631,SRX13465632,SRX13465633,SRX13465634,SRX13465635,SRX13465636,SRX13465637,SRX13465638,SRX13465639,SRX13465640,SRX13465641,SRX13465642,SRX13465643,SRX13465644,SRX13465645,SRX13465646,SRX13465647,SRX13465648,SRX13465649,SRX13465650,SRX13465651,SRX13465652,SRX13465653,SRX13465654,SRX13465655,SRX13465656,SRX13465657,SRX13465658,SRX13465659,SRX13465660,SRX13465661,SRX13465662,SRX13465663,SRX13465664,SRX13465665,SRX13465666,SRX13465667,SRX13465668
SGL_RS05105,5.225974828721097,6.805738130709072,5.752296850441074,5.672828126390573,3.3460777652595515,5.8368447731920785,5.527900676418326,4.899163982370401,5.865513206483454,5.8664996092515675,4.230679136077862,4.42833913768064,5.7008190235602845,3.1783556608989816,5.142934266931529,4.703558559632416,5.375204710175159,5.229392951838899,3.4423389437281497,5.52618263071113,3.2651396622693984,5.717350790001023,3.5979954689566336,4.386592320241722,5.692163876580919,5.2624465976994825,3.2250117104287566,5.211347473194687,5.7499475062261896,5.268605527155475,5.929767420338195,5.735765259876415,4.440860739090769,4.98504547752556,4.076650639323453,5.109892699632671,6.269063036519493,4.427579217775618,3.4931278665747607,6.169233364105726,5.501379864372575,4.50866939954788,5.779697916660666,5.083528770649544,2.758441021308932
SGL_RS05110,7.743530431296131,7.727997068660546,7.446951782989108,7.941111070380544,7.984979757427474,8.29187036102359,8.061845637385161,8.006392842473224,8.128951295599423,7.469987408453848,7.213843888660548,7.212151971750652,7.662788588761835,7.997974995056002,7.632686400442749,6.952833670625486,6.669675264297794,6.978290677230795,7.841152887364322,7.587982772340723,7.750743352594518,7.8933251432583384,8.13300865493731,8.143924170141677,8.308310670305254,8.171572638287577,8.140391016056027,7.504651312162773,7.644567557639186,7.292299952951986,8.13898350762626,8.09298968258931,8.166552963754071,7.496647414995133,7.569849338180764,7.342501999971212,7.700152923142183,8.084061964339861,7.477663064772994,8.16629971641304,7.969679392831799,8.086518629301766,8.762081232490633,8.988127357202114,8.186908534272101
SGL_RS05115,4.961705837429142,7.918823055766194,7.048927013030055,6.96854234684997,7.5173389461088,7.134395001114678,7.099662826476731,6.911694894244295,6.17339268486034,7.48427505584784,7.347775027143998,6.4958666206262725,7.578054078961418,7.238665507280269,7.140690450764215,6.150191959786114,6.256683857985015,6.287250550840431,7.530539205204313,6.1496353137555655,7.674403280507903,7.333277729757604,6.7993643935301495,7.574812164352558,6.98810567788132,7.353277437551022,7.08563703383289,6.720717384562729,7.849221564464791,6.969987344374585,6.648108255116901,7.032209063144575,7.58064735943093,6.080302077994842,7.249331836092566,6.90685413284544,7.464221481973454,7.141327397986723,7.586079071909613,7.387932570183525,7.375560301153301,7.225670963698097,8.307504598717346,8.649429293837798,7.17240657183872
SGL_RS05120,6.488462727688117,5.120272757041262,4.743637245001308,4.202862222065317,5.5140562144154295,6.695729915579467,5.589573583030707,5.580887404019139,5.166690736748096,6.147456697700649,0.0,4.701664286847644,6.778768408423376,5.3311728630488515,5.420989047927981,7.525316898164613,6.22973700127922,6.341712319852305,6.193330603360534,4.8315145164822875,6.988457797953877,5.99782290883273,4.811364918885201,6.356005063151037,5.753980713341514,5.541086880331559,5.955627220198962,7.296555044108396,6.828395121435818,6.5317657931845705,6.621075745852223,6.4795806231294595,7.252712085410225,7.042499524435531,6.0330782422715,6.879776502876177,6.331273178381783,0.0,5.672912707827712,6.861942004840674,5.781054262029068,5.756202920049477,7.2408122224438465,6.823960038246916,6.1554457561217895
SGL_RS05125,3.1209883811871464,3.826116757014635,5.681518955426647,4.2572842865377964,4.416182208384914,4.79225995487118,4.422638828847791,3.3425993815395687,4.931935152589632,5.223583181100848,5.04158243448716,4.359621455066208,4.262805251211148,3.7830951887859183,5.072876894466071,4.745246940911405,4.092014038417996,4.847344086509915,5.674529769916114,3.9349703999406156,4.677027207273656,4.675121789943753,4.866841914234573,2.8708760967213323,4.437606323427934,4.9370591203508996,4.780128521535574,5.088316965090924,5.421757711070066,5.2743067256791205,5.164070932171081,4.982226164790836,5.383005445915455,4.51604256922761,6.089702888643149,4.900102794508254,5.148940864733265,5.323272199719975,5.7292931472120685,4.954274073962066,4.862525907489547,4.8380878168401,5.837738323797118,5.345162805909056,5.159489078798516
SGL_RS05130,6.658834957963116,6.8479090316273155,7.675365853623564,10.226437373294607,10.147442044538979,8.273632845257909,0.0,0.0,4.369668381114993,7.116926967091135,5.638550333689696,0.0,8.135534624571568,10.14076804559216,9.323850497645962,5.146013856485386,0.0,0.0,6.773941775799803,4.997983919796342,0.0,9.471211370578823,10.18039810952953,8.892016514837973,0.0,0.0,0.0,7.788000376574023,7.77204809421441,8.108543424797293,10.653890032016363,10.616244963947157,10.628364104008451,6.00395979862945,8.818525349100923,8.182133862560539,8.364278486917508,6.418442351909984,7.631184725516129,10.741327702729063,9.972588110573458,11.241887483609066,6.0109328909255915,7.354761752829983,5.030157078954712
SGL_RS05135,4.69471026176412,4.878635241276116,4.971469961152873,5.233658832592562,4.771913810961253,4.7499711954101596,4.846323526682414,4.503532515473932,5.179903207313364,5.86594036545215,4.72856582244276,4.82597826382236,5.233073525907843,4.77710970134849,4.467247975835457,4.513194623533485,5.181814701000261,4.684148381497255,5.571369948624399,5.156479326667613,4.87088272136938,4.470293796476362,4.426308009167878,4.74763730239588,5.361083841013518,4.7985414237572845,4.991848177885203,5.1157476764194945,5.006085632952702,4.736827465050773,4.677444303170521,5.121622149508014,4.6317136861425,4.70902668688305,4.868275118524309,3.975799977328521,4.235598363986497,5.280488579530254,4.713986653917131,5.192581007658553,4.699265108848626,5.107251133029571,5.448185718592695,5.374533864318394,5.234788598975418
SGL_RS05140,7.292503212615358,7.16229446876856,6.365324391541427,5.807274086025755,6.161396842732903,6.190670811087966,5.662075374419674,7.800836826186522,7.01848245910182,7.66750574935546,7.57758121463918,7.188486620036211,7.13001440906224,6.1960520126544445,6.795887327615402,6.028770442162324,6.043391986817493,6.565134415753979,7.132269858941105,5.878665483680208,7.17653656914032,6.2900170933370845,7.165062207876657,6.909760104565526,6.23531240360134,6.188644097349621,4.487042265901255,6.465233893186668,7.000491924758412,7.472703089654525,5.5851828854445875,6.471214140584357,6.882045982817251,6.634680243160791,7.095465859761624,6.879776502876177,7.134514290167694,7.0511808854478515,7.812249833188035,4.970259384968286,6.430365123931755,7.272057192766514,6.777881745665292,7.088455267725414,7.067853882563735
SGL_RS05145,0.0,0.0,5.03306487935856,4.487658350625585,0.0,0.0,5.883505355444447,4.899163982370401,5.458700393504056,7.022621224400558,6.750139769161981,6.545184004066512,5.29499763866828,0.0,4.528012112399212,6.251128338730117,6.525688330382365,5.48600365166753,5.912234602422948,6.100671869136594,6.7055387886207125,4.744514277518225,6.080090063542384,6.652259175110914,5.474414599440757,4.859883509994449,4.70326029417557,5.616616828254279,7.316926241833654,5.268605527155475,6.148774924711684,5.2172331090556305,5.9808449109487425,5.554742842463451,6.808790389490849,7.31363490293708,7.84150015016619,5.967140790785101,6.544415901723344,4.623817924832503,6.075686817823064,6.050749708383209,6.13642037198692,5.339454345461235,6.711489908818641
SGL_RS05150,7.03203287339956,8.040423769309108,7.132260394327227,6.816285535440631,6.256246569477805,7.624758289286228,7.5029585854270255,6.803936582060461,6.819895171948945,7.522210511043979,8.377145379760725,7.942173519015591,7.307426551327513,6.331062690656053,7.251066491855313,7.9564690948851196,7.238119380138902,7.477832599367273,7.422454003631133,7.804549136169829,7.293928168459417,6.835974379987489,6.021959761353941,7.2141771454149985,7.045612337346001,7.34417363477655,6.2588099341211185,7.017117303854104,7.3085846010579845,7.181637729440382,5.93772869550312,5.99727322815566,6.951146820275887,6.0019609254813915,6.835263682901889,7.034173932229322,5.991673633342349,6.791044180892186,5.909103143970596,4.35495347261415,5.798873616793501,4.240842662937761,6.487945607982613,6.908490649455107,6.075231567774141
