Geneid,SRX669715,SRX669716,SRX669717,SRX669718,SRX669719,SRX669720,SRX669721,SRX669722
SGL_RS00010,5.4519817069057055,6.099831800518178,5.0893735063787275,5.57486172323061,5.4642596646322845,4.804190587249308,5.288498545629196,6.409665341313723
SGL_RS00015,4.964374474248162,5.404683984465957,3.538911362337849,5.227988986033579,4.193706904227247,4.254655033336388,4.041188464348019,6.224995577576531
SGL_RS20055,4.566195260276642,6.081855123957049,4.3626216657765395,4.999847991497358,4.7805728874701465,4.4528050233692476,4.516372488273812,6.443646529078003
SGL_RS00020,6.21388259225485,6.247348635082943,5.676455883173268,6.52877666122239,6.085730118053306,5.752400847307297,5.821945474881286,6.9889181654642725
SGL_RS00025,3.6151985274505023,4.5294597456277055,1.837554220503321,3.701681405327827,3.286542405760615,2.995866399684723,3.6417261301542005,5.034410467422096
SGL_RS00030,5.13826974160469,4.58598834702274,1.9933153318456487,4.2117793014140155,4.3029287995056675,3.305934877352588,3.442754536855144,5.528633940802912
SGL_RS00035,1.4302328796362178,4.447026310997185,1.8711390295930996,3.275422883082336,2.175413481078141,2.2024613557180093,1.8135771110837025,4.9436098598466875
SGL_RS00040,6.44567021458258,6.606014715522217,5.9465837034659765,6.567384961171021,6.732895724896467,6.379035889289597,5.254918682262673,7.1618010617952335
SGL_RS00045,6.672679488463359,6.630490099950369,5.319166108700639,6.5588556452804205,6.3768376550542,5.83120661481638,5.820692283102464,7.096216908390031
SGL_RS00050,6.556903055256486,6.465970046705694,4.663856387080567,6.162015433295362,5.439883177124292,5.299668920169873,5.73305330283856,7.083616524730048
SGL_RS00055,5.657895307506817,5.473870763117855,5.234660972976516,5.973073175812795,5.0222911694188666,4.804643629164711,5.647572534889351,6.404102271486
SGL_RS00060,5.363092592949153,5.692447011738976,4.446144799522619,5.467011337648071,5.200800912859642,4.594011165224599,4.784353093314273,6.513225112866573
SGL_RS00065,3.874875015266812,4.849512770319807,1.9567309376884714,3.8063407947613346,4.164282646137005,3.703710057519994,4.062272895789496,5.50429186406969
SGL_RS00070,4.804163313051314,4.868162437171431,2.60537147071794,5.175489873484083,4.3783736972764045,3.7218144168101905,3.5974145301546843,5.614365154429953
SGL_RS00075,2.7041504950240394,4.662794101824189,3.542883478783335,3.9318396870274475,3.4300828151491207,2.4176637588734797,3.731155130234241,5.050162176755224
SGL_RS00080,5.397164652043169,5.715359155423877,4.447202827881176,5.385180194154186,5.228451339943909,4.958377212386355,4.6510550024932815,6.192975136861937
SGL_RS00085,4.191886941871398,5.570285062039244,3.230600206683528,4.626807243488507,4.217621816045343,2.9990254465706694,3.0574083218709056,6.408639218000416
SGL_RS00090,3.714500174563035,5.545726675517599,2.9953017105045148,4.134809360445383,3.3836608947532083,1.442810992672563,3.8576953508194864,6.1149078697042665
SGL_RS00095,4.724735543952128,6.441254624106467,5.193707572507668,5.175489873484083,4.796262635385588,4.3657274019008385,5.146592751606902,6.611927289335327
SGL_RS00100,4.86469999174843,5.923222417834221,5.41531487860585,5.681804008818147,5.0732908340944265,5.248740003293528,4.746631562379077,6.249602111471154
SGL_RS00105,4.121028171550012,5.0914668727104555,3.107876721387954,4.2632968336165815,4.245010457414095,3.5019244401028167,3.3108476968128215,6.0137737419513355
SGL_RS00110,5.344555767259652,5.624332378060189,4.542618639501,5.339080907532735,5.00534436583813,4.744358898436416,5.1633680312218795,6.441569089895557
SGL_RS00115,4.133417275519921,6.027488553590394,5.185686390089718,5.384971002695573,4.655173066671027,4.017103040027839,4.811021285996504,6.4773440082789735
SGL_RS00120,5.3964654948787585,6.481829602990986,5.774618711630311,6.628444436967718,5.312375436007744,5.979658576830994,6.113680153158987,6.198018295004199
SGL_RS00125,5.893089038821333,5.874549795783053,4.242879907887465,5.858330659982256,5.489812841045755,5.192047902672709,4.729444029508927,6.689792939202913
SGL_RS18470,4.29728081851824,4.051078672306704,3.0882227760820764,4.7735263125077605,3.648798845628344,3.4144305805865987,3.9919629755361035,5.130184200691027
SGL_RS19675,7.050070583659563,6.958451943653811,6.409187115034677,7.091619955129475,6.8015590827787165,6.420105040058535,6.995621601100481,7.569330938490617
SGL_RS00135,6.576193535412093,6.070998186399062,4.882152705691623,5.619207073154852,6.2218459801639865,5.6549948729437425,5.4289543619315,6.321576383988022
SGL_RS00140,5.28514417917696,5.655574281184473,4.621755067272395,5.224359550899543,5.17094684844551,5.012757799027151,4.708303018734178,5.953851591758877
SGL_RS00145,7.525342977225624,7.255106583076627,6.143334337126476,6.847752453149774,7.0130946578877955,6.839411580463652,6.46965496780434,7.435921136005353
SGL_RS00150,6.866260822924701,7.54787425376576,6.538070359521236,6.904211410694718,6.660295743436764,6.68880760193353,6.60806206256332,6.8802443724752855
SGL_RS00155,6.7620384881084545,6.7496477080899275,6.098728849934541,6.472067033334395,6.490978852809544,6.579564057722579,6.524810715372419,6.844285062351486
SGL_RS18475,7.130455248932936,7.451834644443739,6.750052255816875,7.049367649437843,7.500001837045169,7.46381255201575,7.256705818810626,7.561060255881304
SGL_RS00160,6.2309234283448385,6.167619427407134,4.716226516316645,5.639716059167635,7.351320922186376,6.995758450073383,5.121818633607709,6.249205791032054
SGL_RS00165,7.544867390931649,7.132825748568618,5.40491803241275,6.204062902507911,8.06520842074034,7.5744977314941115,5.909778829233659,6.905705070867556
SGL_RS00170,7.190861369786439,6.946754097689123,5.169573143749193,6.699788799167177,7.253767188149814,6.989816149624074,5.825966990373543,6.996596553527094
SGL_RS00175,5.596064046779,5.661044474741414,3.966590410625354,5.476055515612206,5.154967731609972,4.7239293062023755,4.479074791871275,6.720649938658596
SGL_RS00180,6.356865295017474,6.319526313201396,3.5615032181193467,6.064775122486265,6.419509800267773,5.2332200009853045,4.684249100153519,7.015722111741898
SGL_RS00185,7.117375063200775,6.595211417493771,4.871444351147367,6.317717804880526,6.5736732687658375,5.829010844371652,5.0210662980511325,7.338451963763778
SGL_RS00190,5.185950881865807,5.921052288077824,5.002214579733332,5.349512628205886,5.256083303659184,5.094630144725632,5.123953427834234,6.556543041389826
SGL_RS00195,4.804163313051314,5.086075985733298,3.212708365383445,5.033956931888608,4.893678994459727,5.0819739443665695,3.49963888310981,6.2318606869535165
SGL_RS00200,4.30428592426467,5.409742151388141,3.9160860287093926,4.5404460954889725,4.864337576989639,5.6076258593782775,3.766840808459794,6.503470832300499
SGL_RS00205,6.48792245040416,6.5312919906061335,5.358253472991397,6.287371779764001,7.10473242169564,7.826008338799288,5.4638200341058445,7.28008480179438
SGL_RS00210,4.91608687354862,5.306827479953478,3.8082055670972568,5.344888355840264,4.860612106404426,4.645692112921321,4.663405429090931,6.176294280401107
SGL_RS00215,5.034666823262923,5.332206166340703,4.638469458691206,5.329485827078822,4.894820363323759,4.707314427619558,4.391230144343475,5.859344875954936
SGL_RS00220,5.714184654820177,5.412984490322407,4.593749708009977,5.954064652778348,5.3428969250544345,5.446446993813653,4.8732136895370015,6.248605684730292
SGL_RS00225,4.81215545000033,4.909878819039093,3.3333511016384576,4.999632295424768,4.6262212126508,3.7991470445496534,3.861008036326073,5.947816755951908
SGL_RS00230,8.630026436140973,8.423001218088451,8.271135932269507,8.361006765413235,8.226936646413913,8.155740281871623,8.011007008347542,8.510987143991056
